rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss
9000.0,29,643,742400,1153,-6530771.33597434,1.0219635e-07,0.2,-1.109270264327526,2.7849600000000002e-05,0.0,146975744.0,280,-7.677364628762006e-06,2.384185791015625e-07,301766955.152
9000.0,30,653,768000,1176,-6522851.804567623,1.3153068e-07,0.2,-1.103873370528221,2.7772800000000003e-05,0.0,133273408.0,290,-8.919918560422958e-06,0.0,284678270.288
9000.0,31,609,793600,1301,-6504826.67828975,1.4760764e-07,0.2,-1.1081376079916954,2.7696e-05,0.0,161576720.0,300,-1.1447986296843738e-05,5.960464477539063e-08,304952029.712
9000.0,32,618,819200,1323,-6494358.8484542845,1.1954457e-07,0.2,-1.115196848154068,2.76192e-05,0.0,140093136.0,310,-8.259650698164477e-06,1.7881393432617188e-07,271253756.992
9000.0,33,627,844800,1345,-6484749.079547879,6.9697855e-08,0.2,-1.105999920964241,2.7542400000000002e-05,0.0,164466512.0,320,-5.333107081241905e-06,0.0,302383450.848
9000.0,34,636,870400,1367,-6481754.208870083,9.660143e-08,0.2,-1.0939986822009087,2.74656e-05,0.0,146087376.0,330,-7.056667993310839e-06,2.384185791015625e-07,288544882.72
9000.0,35,645,896000,1388,-6470058.08159496,1.4253426e-07,0.2,-1.098827867269516,2.73888e-05,0.0,146334752.0,340,-9.802508749999106e-06,0.0,256475368.944
9000.0,36,608,921600,1514,-6459305.253228789,1.02787745e-07,0.2,-1.1074703775644303,2.7312e-05,0.0,138265424.0,350,-7.3957429267466064e-06,0.0,273896374.256
9000.0,37,616,947200,1536,-6442444.664836269,1.398055e-07,0.2,-1.116856018781662,2.72352e-05,0.0,162975664.0,360,-1.0479127406142652e-05,0.0,290927497.872
9000.0,38,624,972800,1558,-6418418.05015887,1.0871794e-07,0.2,-1.1025731711387634,2.71584e-05,0.0,149727408.0,370,-7.91690219193697e-06,2.384185791015625e-07,306835005.792
