time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/explained_variance,train/loss
25,1890,338,640000,-0.3390447419285774,2.8156799999999998e-05,28637.045454545456,5.667098e-09,0.0,12143089.649,-5.529115442186594e-07,-4647229.457021136,240,0.2,3.5762786865234375e-07,6214015.0
26,2243,296,665600,-0.33106772100925447,2.808e-05,28636.304347826088,8.163043e-09,0.0,14602247.473,-8.633214747533202e-07,-4644826.155398304,250,0.2,2.384185791015625e-07,6207110.0
27,2265,305,691200,-0.33533193047344684,2.8003200000000003e-05,28661.041666666668,3.2144598e-08,0.0,13598461.1,-2.0368327386677263e-06,-4653168.493278167,260,0.2,3.5762786865234375e-07,7233450.0
28,2287,313,716800,-0.3267211547195911,2.79264e-05,28661.041666666668,3.678724e-08,0.0,16201928.941,-2.567873685620725e-06,-4653168.493278167,270,0.2,3.5762786865234375e-07,8166228.0
29,2308,321,742400,-0.3367313322722912,2.7849600000000002e-05,28675.76,3.0659137e-08,0.0,18347314.643,-2.4407067103311418e-06,-4673873.91508956,280,0.2,1.7881393432617188e-07,9082329.0
30,2330,329,768000,-0.3645727570950985,2.7772800000000003e-05,28656.653846153848,4.0316955e-08,0.0,14350114.627,-3.194139222614467e-06,-4666598.122382731,290,0.2,3.5762786865234375e-07,7322657.0
31,2683,295,793600,-0.36046951869130134,2.7696e-05,28649.333333333332,8.426141e-09,0.0,15080036.009,-6.764717400074005e-07,-4669705.828456037,300,0.2,2.980232238769531e-07,7481111.0
32,2705,302,819200,-0.35044360576570033,2.76192e-05,28660.928571428572,1.0442454e-08,0.0,13875192.271,-1.0009679826907813e-06,-4675067.133507429,310,0.2,2.980232238769531e-07,6496616.5
33,2726,309,844800,-0.3443878290653229,2.7542400000000002e-05,28680.58620689655,4.3697653e-08,0.0,11365364.918,-2.622264786623418e-06,-4674959.668104172,320,0.2,2.384185791015625e-07,5363765.0
34,2749,316,870400,-0.3314004304111004,2.74656e-05,28682.033333333333,3.7651045e-08,0.0,11302690.251,-2.42236495250836e-06,-4666887.3722191,330,0.2,1.1920928955078125e-07,5682741.5
35,2771,323,896000,-0.3378114406168461,2.73888e-05,28695.483870967742,5.187467e-09,0.0,12526144.955,-6.091875256970525e-07,-4662108.493182999,340,0.2,5.960464477539063e-08,6033896.5
36,3124,294,921600,-0.32786694650352,2.7312e-05,28701.0,4.0153974e-08,0.0,13740486.356,-2.632841467857361e-06,-4661035.193050126,350,0.2,1.7881393432617188e-07,7386220.5
37,3146,301,947200,-0.34070783115923403,2.72352e-05,28694.21212121212,2.8728973e-08,0.0,14572774.382,-2.2160825319588185e-06,-4647637.23062888,360,0.2,1.7881393432617188e-07,7720543.0
38,3168,307,972800,-0.33566457718610765,2.71584e-05,28694.21212121212,3.4405385e-08,0.0,12990637.852,-1.9033717981074006e-06,-4647637.23062888,370,0.2,1.1920928955078125e-07,6607060.5
39,3190,312,998400,-0.35520289032161234,2.70816e-05,28709.558823529413,1.7746352e-08,0.0,18811733.803,-1.3058942276984454e-06,-4663508.1225886475,380,0.2,2.384185791015625e-07,9037183.0
40,3212,318,1024000,-0.3490222145020962,2.70048e-05,28730.2,1.1844095e-08,0.0,16717733.975,-8.723734645172954e-07,-4676628.195976572,390,0.2,1.1920928955078125e-07,8513524.0
41,3566,294,1049600,-0.36075800043344497,2.6928e-05,28713.333333333332,6.798655e-09,0.0,11468933.113,-6.717521464452147e-07,-4666148.073297974,400,0.2,0.0,6385775.5
42,3587,299,1075200,-0.3417853082716465,2.68512e-05,28712.783783783783,3.05241e-08,0.0,9517030.311,-1.835010596551001e-06,-4661385.95327419,410,0.2,2.384185791015625e-07,4889647.0
43,3609,304,1100800,-0.3360779298841953,2.67744e-05,28708.947368421053,7.299706e-08,0.0,12469241.898,-4.161692399065942e-06,-4661515.039666397,420,0.2,0.0,5952451.0
44,3631,310,1126400,-0.34478550654649737,2.6697600000000003e-05,28695.30769230769,5.6927094e-09,0.0,13266614.256,-4.895774181932211e-07,-4650514.740020335,430,0.2,5.960464477539063e-08,6364294.5
45,3653,315,1152000,-0.34242829352617266,2.66208e-05,28692.8,1.7695129e-09,0.0,12556367.871,-3.56461969204247e-07,-4648640.56796085,440,0.2,1.7881393432617188e-07,6463721.0
46,4005,293,1177600,-0.3378195548504591,2.6544000000000002e-05,28692.09756097561,2.561137e-10,0.0,14344282.817,-2.2588536376133561e-07,-4656647.074543707,450,0.2,5.960464477539063e-08,6994987.5
