#{"t_start": 1733223098.377796, "env_id": "None"}
r,l,t
-4920918.032753,29125,1553.290459
-4782195.881791,29433,1570.230098
-4806886.118422,28424,1586.605649
-4396938.87547,28969,1603.268743
-4751948.42396,28848,1619.905116
-4333148.421771,28277,1636.200513
-4689983.799507,28556,1652.663843
-4973169.915643,28729,1669.23553
-4758269.143298,28829,1685.827609
-4188177.914611,28433,1702.178886
-4592693.231802,28860,1718.802375
-4330909.85461,28500,1735.250613
-4680541.414679,29797,1752.402937
-4543332.859412,27889,1768.530506
-4284317.372355,27837,1784.656598
-4622105.833398,29552,1910.643847
-5247532.418807,29324,1927.487712
-4850626.286878,28828,1944.089993
-4617227.351657,28588,1960.574214
-4789492.163472,28678,1977.096751
-4518673.444119,28727,1993.626047
-4352453.96969,28652,2010.092557
-4528937.284601,28742,2026.618202
-4625455.978804,27753,2042.677431
-4989111.247545,28738,2059.263503
-4333946.761421,28474,2075.744226
-4592538.790099,28959,2092.480417
-4620032.76342,28479,2108.949762
-4564027.712632,28459,2125.439323
-4349811.710008,28342,2141.834224
-4503559.933147,28565,2158.314998
-4952770.880263,28962,2175.031148
-4457432.11606,28632,2191.551201
-4704197.461423,29060,2208.295342
-4172904.601703,28635,2224.769842
-4822358.094953,28763,2350.339861
-4781981.8075,28253,2366.625678
-4752610.077678,28738,2383.210288
-4793282.18297,28852,2399.863741
-4191367.923068,28484,2416.327561
-4741071.506869,28743,2432.908655
-4524763.673453,28222,2449.255783
-4414612.902576,28096,2465.533085
-4441029.134121,28298,2481.917264
-4744354.314352,28544,2498.421446
-4686255.757699,28809,2515.092772
-4894342.669301,28984,2531.85226
-4745749.649914,28485,2548.318013
-4630780.699913,28863,2565.00115
-4409475.454595,28492,2581.493984
-4472734.910247,28623,2598.056396
-4489665.875102,28738,2614.681971
-5118003.06684,29736,2631.867699
-4260220.78149,28109,2648.180362
-4745192.855748,28432,2664.629352
-4939323.731616,29420,2791.452878
-4810918.018419,28500,2807.917458
-4468675.874073,29239,2824.764897
-5096429.805496,29330,2841.684932
-4433918.115481,28216,2857.981194
-4439077.339407,28653,2874.559878
-5152853.289446,29933,2891.84864
-4339186.723851,27894,2907.952169
-4415557.643581,28778,2924.538154
-4277218.079224,28289,2940.84604
-4596186.093403,28711,2957.394689
-5118416.474784,29592,2974.423916
-4651842.394055,29002,2991.115937
-4730284.373674,28916,3007.712925
-4671106.065156,28445,3024.04697
-4145010.956035,28100,3040.214703
-4709630.727244,28263,3056.484015
-4620412.334895,28754,3073.012872
-4446661.733592,28823,3089.566507
-4083472.135063,28920,3106.168414
-5211994.746364,29287,3232.202095
-3819715.187213,28213,3248.493381
-4878376.211309,28688,3265.002778
-5061217.767186,29831,3282.104773
-4945691.35299,28931,3298.718228
-4909951.666779,28667,3315.181834
-4257379.523171,27871,3331.222979
-4697344.738994,29186,3347.966738
-4614539.529997,28939,3364.585309
-4976800.803234,28767,3381.096723
-5067520.730754,29196,3397.865795
-4803552.053714,28707,3414.345149
-4863652.657262,28710,3430.852315
-4872993.19767,29726,3447.904881
-5103929.776017,29391,3464.773979
-4442052.603542,29302,3481.59447
-4552194.999056,28516,3498.006477
-4563210.947181,28556,3514.412396
-4460921.2925,28319,3530.674291
-4939755.230344,28948,3547.279937
-4487981.086978,28896,3672.915795
-4506184.102044,28222,3689.298903
-5267272.145571,30025,3706.656298
-4600245.799606,28771,3723.316246
-5039899.786921,28982,3740.105897
-4577283.567976,28578,3756.698406
-4873223.687674,29145,3773.59613
-4420203.290216,28625,3790.2008
-4192732.102277,28265,3806.610218
-4431344.198765,28072,3822.892516
-4641326.287624,28040,3839.18157
-4499428.868846,28313,3855.592016
-4288812.597462,27920,3871.769488
-4679400.020139,28656,3888.332229
-4502823.571186,28762,3904.934733
-4691383.825273,28650,3921.483239
-4508766.729137,28449,3937.90731
-4547530.926621,28205,3954.221782
-4577844.382317,28619,3970.739728
-4730100.785706,28119,3986.967091
-5089470.548443,29134,4112.853275
-5122990.093292,28297,4129.225053
-5050910.0398,29766,4146.389278
-4497394.99557,28229,4162.664442
-4794015.194785,28396,4179.11142
-4773186.670764,28381,4195.555712
-4427442.954439,28237,4211.915556
-5101331.40324,29126,4228.75258
-4398368.717529,28341,4245.130225
-5113930.630084,29788,4262.323731
-4592997.425005,28653,4278.843805
-4459885.427541,28964,4295.532408
-4476651.230227,28135,4311.773791
-4704891.946566,28448,4328.208981
-4378604.869718,28604,4344.7332
-4883792.391387,28649,4361.285408
-4923731.484865,28760,4377.895544
-4966550.363334,28806,4394.498488
-4473733.588593,28450,4410.901952
-4787732.667104,28597,4427.386862
-4851708.383844,28798,4553.368111
-5040185.554325,28811,4570.038054
-4293053.546532,28303,4586.403279
-4616606.904728,29007,4603.149126
-4856417.013213,29278,4620.018706
-4654157.679545,28881,4636.711232
-4826142.419204,28716,4653.288244
-4794639.661889,29245,4670.155013
-4659714.900745,28631,4686.663207
-4883054.01934,29078,4703.398927
-5120082.16708,28857,4720.047394
-5396054.415111,29615,4737.119143
-4687171.017424,28981,4753.808572
-4764325.871179,28687,4770.352937
-4869950.930626,29397,4787.229089
-4212644.696544,28239,4803.493544
-4225395.014946,28393,4819.885355
-4478548.417571,28370,4836.220214
-4339470.481167,28584,4852.663457
-4279428.170149,28386,4868.993799
-4440830.805512,29143,4994.76738
-4773297.560577,29001,5011.508103
-4742604.868421,28379,5027.894931
-5051860.811066,28979,5044.582168
-5233928.14834,29437,5061.536413
-4894263.60587,28847,5078.110736
-4769728.98569,28443,5094.480994
-4841637.846752,28851,5111.073831
-4615689.634915,28678,5127.570519
-4507235.712687,28983,5144.223292
-4288371.718326,28541,5160.629843
-4804126.938665,28591,5177.074905
-4729396.585142,28464,5193.466741
-4858568.141579,29379,5210.390331
-4383572.800342,28709,5226.91288
-4664902.600907,28443,5243.329383
-4888973.726273,29221,5260.147366
-4503441.002985,28398,5276.495392
-5092335.592794,28598,5292.978315
-4218413.311919,28397,5309.350612
-4489012.596748,28698,5434.893306
-4875221.044365,29021,5451.58441
-4720628.584584,28662,5468.074998
-4514961.483008,28565,5484.496266
-4763813.633946,28759,5501.049821
-4734567.199562,28562,5517.542535
-4799133.881952,28450,5533.954137
-4384686.723689,28534,5550.453758
-4871774.414771,28852,5567.134257
-4068435.677436,28228,5583.493983
-4371919.65456,28408,5599.944098
-4970609.399509,29072,5616.715325
-4085521.754023,28851,5633.318272
-4716398.690994,28184,5649.544861
-4521243.34066,28225,5665.812966
-4624129.656238,28716,5682.370265
-4625389.645925,28683,5698.850522
-4937838.947172,29390,5715.746908
-4750535.667642,28354,5732.086074
-5162529.514423,29874,5749.247599
