time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
33,1456,844800,9000.0,-4582397.911435162,580,168960363.688,76516440.0,0.2,-1.2296101718675345e-05,2.7542400000000002e-05,320,1.9966858e-07,-1.0825250561833382,0.0,-1.1920928955078125e-07
34,1479,870400,9000.0,-4575013.112628001,588,147982023.72,76483808.0,0.2,-9.33109363541007e-06,2.74656e-05,330,1.6943784e-07,-1.074837376356125,0.0,0.0
35,1502,896000,9000.0,-4573270.306069203,596,119886427.568,67020696.0,0.2,-1.761342503596097e-05,2.73888e-05,340,3.3963937e-07,-1.0808650912046434,0.0,1.1920928955078125e-07
36,1640,921600,9000.0,-4575064.69256374,561,165371630.72,82310376.0,0.2,-4.208912840113044e-06,2.7312e-05,350,6.228685e-08,-1.0842869028449058,0.0,0.0
37,1663,947200,9000.0,-4571307.28507183,569,181536431.84,90200224.0,0.2,-6.861817906610668e-06,2.72352e-05,360,1.124735e-07,-1.0853116776943206,0.0,0.0
38,1686,972800,9000.0,-4560868.9096899405,576,158942322.504,78191952.0,0.2,-6.243578885914758e-06,2.71584e-05,370,9.2354604e-08,-1.090859196960926,0.0,1.1920928955078125e-07
39,1709,998400,9000.0,-4552244.41225103,583,146597427.064,59243280.0,0.2,-1.0600005392916501e-05,2.70816e-05,380,1.649349e-07,-1.0793603276610375,0.0,0.0
40,1733,1024000,9000.0,-4534655.486292991,590,145727199.424,77988664.0,0.2,-1.164888811763376e-05,2.70048e-05,390,2.061925e-07,-1.0752734804153443,0.0,0.0
41,1870,1049600,9000.0,-4518306.18125301,561,129133766.32,67093816.0,0.2,-1.6750579699873923e-05,2.6928e-05,400,3.0918977e-07,-1.0718939946889878,0.0,1.1920928955078125e-07
42,1894,1075200,9000.0,-4502665.33856223,567,132594805.752,68355008.0,0.2,-5.084213917143643e-06,2.68512e-05,410,9.554671e-08,-1.0845111184716225,0.0,0.0
