#{"t_start": 1733223098.3779752, "env_id": "None"}
r,l,t
-3536096.180728,9000,2131.930463
-2885304.761662,9000,2142.172557
-3089134.323129,9000,2149.226533
-3218359.670635,9000,2156.287652
-3099786.691888,9000,2166.556774
-3543927.259595,9000,2173.638527
-3406199.409952,9000,2180.700887
-3516342.299145,9000,2191.433382
-3072235.666629,9000,2198.508135
-3236711.520912,9000,2205.55333
-3204738.240218,9000,2331.71789
-2960027.526338,9000,2338.787165
-3162618.983658,9000,2345.823622
-3234741.760714,9000,2356.160795
-3199195.138074,9000,2363.225313
-2823751.654351,9000,2373.532295
-3024827.556865,9000,2380.561138
-3300131.694666,9000,2387.617397
-3096767.595066,9000,2397.89058
-2884990.097991,9000,2404.925577
-3186502.098547,9000,2411.956022
-3478687.342429,9000,2422.234921
-3210243.20598,9000,2429.301037
-3403073.584575,9000,2436.35838
-3296969.579224,9000,2561.429502
-2822779.737682,9000,2568.487908
-3405636.162854,9000,2575.531398
-3071106.300869,9000,2585.829559
-3143327.827056,9000,2592.903814
-3511474.948564,9000,2599.963836
-2973814.4642,9000,2610.247308
-3091981.351124,9000,2617.315954
-2788163.322785,9000,2627.575278
-3424539.828972,9000,2634.63767
-2973790.090201,9000,2641.695786
-3657412.232114,9000,2651.955256
-2837432.294722,9000,2659.02897
-2865352.096551,9000,2666.088821
-3040133.650116,9000,2790.799345
-3096656.839347,9000,2797.804005
-3157621.847917,9000,2804.818781
-2765366.406217,9000,2815.099515
-2907507.190164,9000,2822.11903
-2965873.16335,9000,2829.120106
-2596037.543974,9000,2839.332257
-3306331.046537,9000,2846.371558
-2975451.578704,9000,2853.402709
-3353738.232574,9000,2863.61287
-2757219.560053,9000,2870.6355
-2682232.744682,9000,2877.650405
-2634704.774112,9000,2887.842818
-3293961.696173,9000,2894.869826
-3018798.523351,9000,3019.111654
-2899566.897187,9000,3026.127037
-3054343.215228,9000,3033.137325
-2950557.332614,9000,3043.368307
-3266826.554761,9000,3050.388314
-3193439.59307,9000,3057.418452
-2856818.642044,9000,3067.660138
-2948075.880074,9000,3074.66874
-3079635.86873,9000,3081.66966
-3082031.94575,9000,3092.120472
-3296307.623924,9000,3099.158777
-2791013.034553,9000,3106.20451
-3187661.822165,9000,3116.447589
-2899668.632768,9000,3123.518122
-2890321.015413,9000,3130.565614
-3226951.808832,9000,3255.044725
-3179739.710786,9000,3262.036023
-2892773.07988,9000,3272.285314
-2755572.296799,9000,3279.307987
-2955217.732149,9000,3286.35057
-3366762.096903,9000,3296.5913
-3136211.05734,9000,3303.651381
-3278838.479782,9000,3310.719181
-2881639.059018,9000,3320.988218
-3029450.960642,9000,3328.038844
-2881242.013865,9000,3335.055864
-2711500.810999,9000,3345.342414
-3196433.546285,9000,3352.374536
-2635940.684849,9000,3359.41837
-3206605.764218,9000,3484.154495
-2792580.411115,9000,3491.177575
-2556722.799381,9000,3498.181212
-3444136.584127,9000,3509.153379
-3077748.045968,9000,3516.205093
-3179013.781735,9000,3523.267788
-3016382.131125,9000,3533.545904
-3156971.907597,9000,3540.604207
-2545618.692654,9000,3550.869224
-3360002.161436,9000,3557.920873
-3167768.107323,9000,3564.978176
-2897235.616299,9000,3575.572265
-3088895.197289,9000,3582.632368
-2958299.675881,9000,3589.717742
-2910892.223991,9000,3715.071137
-2951810.016104,9000,3722.102664
-3077872.966293,9000,3729.160578
-3375406.546283,9000,3739.669666
-2593479.421011,9000,3746.715688
-2986946.414039,9000,3753.743044
-3525491.786019,9000,3764.003945
-3202554.063619,9000,3771.02056
-2780135.456814,9000,3778.064418
-2737141.390924,9000,3788.35933
-3326441.64336,9000,3795.403485
-2910081.005278,9000,3805.794797
-3540110.941021,9000,3812.844644
-2799494.559029,9000,3819.883118
-3003139.34324,9000,3944.968323
-2470747.675658,9000,3952.021253
-2953227.946721,9000,3959.050556
-3031914.512588,9000,3969.30977
-3087637.320636,9000,3976.360697
-3034295.435437,9000,3983.411711
-2537226.859517,9000,3993.730208
-2569488.853228,9000,4000.748791
-3283301.838427,9000,4007.754473
-3317653.659902,9000,4017.976271
-2930409.551195,9000,4025.024878
-2421282.921455,9000,4032.078962
-2855890.351945,9000,4042.299271
-2761955.981332,9000,4049.331327
-2966841.820547,9000,4056.371886
-3438720.808273,9000,4181.154021
-2818892.038625,9000,4188.155067
-2703563.122416,9000,4198.422092
-2976904.562225,9000,4205.480273
