#{"t_start": 1733223098.3755639, "env_id": "None"}
r,l,t
-5140130.501046,28756,2371.704265
-5184833.409899,29414,2388.798219
-4023933.341386,27825,2405.037608
-4817616.692767,28514,2421.657061
-4677223.36672,28056,2438.023037
-4475626.417564,28339,2454.498639
-4878258.575187,28664,2471.164405
-4676425.949366,28375,2487.76506
-4278751.036148,27549,2503.91961
-5194544.35977,28918,2520.843992
-4719997.342411,28346,2537.439399
-4633047.382684,28073,2553.841089
-4600778.091768,28777,2570.603032
-4597795.308972,28893,2587.439445
-4422930.922936,28509,2604.065627
-5015094.656566,28495,2620.682479
-5331034.960582,28867,2637.477862
-4932693.859063,28752,2654.235611
-4780779.827388,28731,2670.989995
-4936571.141929,28206,2836.688236
-4862659.056362,27801,2852.908033
-5236413.792351,28806,2869.737889
-4372534.280099,28922,2886.60235
-5081533.71628,28536,2903.210993
-4602228.976239,28383,2919.737439
-4690137.376724,28488,2936.321421
-5290859.788802,29033,2953.226593
-4566028.504811,28039,2969.611937
-4779763.137001,28512,2986.251154
-4702164.586322,28445,3002.836984
-5029220.861465,29428,3019.965897
-4491168.021527,28652,3036.612486
-4280166.76998,28130,3053.012742
-4972934.310601,29122,3069.961297
-4355132.370413,28361,3086.50497
-5220564.871373,29175,3103.486063
-4523692.740419,27927,3119.805615
-4221377.158851,27682,3135.973977
-4592120.321996,28560,3152.610944
-4788576.908656,28954,3419.346443
-4455067.645727,28462,3435.903209
-4443641.679441,28500,3452.500668
-5019228.371714,28416,3469.029049
-5105887.752826,28655,3485.768503
-4435930.968314,28217,3502.238343
-4819854.282016,28116,3518.655219
-4638655.081294,28499,3535.290878
-4779776.192952,29125,3552.267832
-4284749.743771,28285,3568.805253
-4536684.416597,28609,3585.510607
-4602533.615111,28742,3602.260135
-4968929.48113,28539,3618.911928
-5109697.747327,29043,3635.836633
-4541392.593616,28277,3652.316131
-4526273.466858,28678,3669.00156
-4368399.560647,28349,3685.506647
-5166726.478825,29117,3702.443643
-4417316.194198,28823,3719.254456
-4531576.861365,28360,3735.809204
-4949667.600489,28896,3971.702902
-4639506.731062,28760,3988.493287
-4868505.779318,28492,4005.14795
-4584601.09816,28073,4021.574936
-4632346.713279,28553,4038.271948
-4576910.138344,28102,4054.718933
-4784864.666409,28572,4071.420412
-4688949.285126,28834,4088.238053
-4518191.163262,28402,4104.876271
-4406240.729998,28366,4121.478972
-4694958.370556,28778,4138.305645
-4692809.494825,28662,4155.057023
-4623804.773232,28657,4171.804695
-4626578.660802,28778,4188.573621
-4945464.923135,29267,4205.605791
-5056816.791232,28943,4222.47813
-4520967.059439,28678,4239.224093
-4521152.186138,28256,4255.794188
-5307022.387387,28788,4272.682277
-4757591.452985,29186,4289.768756
-4948246.845137,29594,4449.171159
-4640477.223466,28405,4465.776407
-4260503.837285,27742,4482.025869
-4792200.437386,28292,4498.590491
-4433995.339792,28024,4514.977791
-4516936.118065,28850,4531.79654
-4726008.43645,28381,4548.371552
-4567116.50078,28729,4565.117814
-4861747.483124,28783,4581.899663
-4376193.963772,28509,4598.55002
-4484008.67328,28481,4615.150688
-4506400.299866,28150,4631.609085
-4462519.246429,28238,4648.091326
-4915880.471504,28547,4664.75201
-4646085.256845,28599,4681.440423
-4138022.94211,27964,4697.762526
-4813862.939288,28938,4714.647417
-4832664.848711,28780,4731.478304
-4722004.946051,28540,4748.13869
-4919972.340653,28605,4764.843393
-4472135.791726,27835,5176.631859
-4840442.848204,29229,5193.640517
-5314314.303757,28422,5210.258126
-4184880.752519,28193,5226.722053
-4335696.410416,28489,5243.330309
-5107790.908852,29177,5260.312278
-4937975.49365,28512,5276.950677
-5265132.19919,29241,5293.969864
-4593452.029063,28896,5310.756074
-4509764.718171,28127,5327.127032
-4729786.293224,28740,5343.845263
-4566321.76157,28142,5360.227677
-4816955.191217,28621,5376.885488
-4603872.352305,28310,5393.364731
-4965402.030814,28881,5410.14616
-4965318.673584,28695,5426.805317
-4948052.010166,28708,5443.463163
-4768520.958341,28833,5460.181891
-4575566.714398,28163,5476.540342
-4706819.869998,28385,5493.0365
-4509949.175334,28360,5686.172366
-4427459.664312,28365,5702.659835
-4781231.764175,28478,5719.293806
-4861541.266042,28704,5736.076665
