rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/n_updates
18187.0,-171369.801678,1,36,25600,694,,,,,,,,,,
18324.0,-135271.19146449998,2,80,51200,633,-0.00019110291125252842,40918.710115234375,0.0,0.00013104522,0.00014030933380126953,-0.9754463078379632,0.2,2.9923200000000002e-05,21330.955078125,10
18335.25,-112211.283511,3,120,76800,636,-0.00018609289394225925,22754.4332734375,0.0,0.00011089282,0.0010917186737060547,-0.9749803879857063,0.2,2.98464e-05,11457.462890625,20
18262.8,-180006.98450239998,4,155,102400,660,-7.305697933770716e-05,18432.92076660156,0.0,4.7615533e-05,0.0019758939743041992,-0.9387561732530594,0.2,2.97696e-05,9185.8427734375,30
18270.85714285714,-188658.83600228574,5,186,128000,686,-4.8547258018516005e-05,212668.31621875,0.0,1.149358e-05,0.0018463134765625,-0.9842838189005851,0.2,2.96928e-05,108956.71875,40
18243.875,-181165.559830875,6,221,153600,694,-2.9211153043434024e-05,84389.27001171875,0.0,1.0238835e-05,0.001694321632385254,-0.9771744371652603,0.2,2.9616e-05,49278.77734375,50
18199.222222222223,-177002.23968244443,7,256,179200,698,-9.830523887649179e-05,30873.557986328124,0.0,4.593198e-05,0.0012329816818237305,-0.9573592852354049,0.2,2.95392e-05,16016.3388671875,60
18158.454545454544,-171395.4718601818,8,289,204800,706,-4.4877172796986996e-05,49703.341078125,0.0,1.6509988e-05,0.0005699396133422852,-0.9729964540600776,0.2,2.94624e-05,22421.42578125,70
18152.25,-163943.61802808332,9,320,230400,718,-0.00012529520806856453,22432.778564453125,0.0,8.068243e-05,0.00039708614349365234,-0.9530683682560921,0.2,2.93856e-05,12156.6455078125,80
18209.0,-155965.62071428567,10,352,256000,727,-0.0001927100190659985,11617.4418515625,0.0,0.00014864285,0.0001862645149230957,-0.9289877803325653,0.2,2.9308800000000003e-05,6132.625,90
18185.533333333333,-152815.0162369333,11,513,281600,548,-0.0001233451478765346,28452.034919921876,0.0,6.469555e-05,0.00010126829147338867,-0.9359755004644394,0.2,2.9232e-05,14008.6552734375,100
18201.5625,-149763.6344746875,12,542,307200,566,-5.657394486479461e-05,20443.796196289062,0.0,2.070808e-05,8.14199447631836e-05,-0.935937893986702,0.2,2.91552e-05,10291.708984375,110
18205.055555555555,-144342.84119483334,13,572,332800,581,-0.00013864804990589618,14407.373309570312,0.0,8.927072e-05,5.078315734863281e-05,-0.9386124938726426,0.2,2.9078400000000003e-05,7568.09033203125,120
18189.105263157893,-148711.27763973686,14,601,358400,595,-3.054303990211338e-05,24896.978943359376,0.0,1.8613355e-05,3.123283386230469e-05,-0.9362873071432114,0.2,2.90016e-05,13578.0849609375,130
18190.95238095238,-145103.31570885718,15,631,384000,608,-1.4151984825730323e-05,51898.2716171875,0.0,4.3972254e-06,1.823902130126953e-05,-0.9304595091938972,0.2,2.89248e-05,26240.173828125,140
18179.409090909092,-144479.72526036366,16,660,409600,619,-6.315726245520636e-05,26213.578392578125,0.0,3.418286e-05,1.633167266845703e-05,-0.9342464827299118,0.2,2.8848000000000002e-05,12467.0869140625,150
18180.869565217392,-144393.5276852174,17,693,435200,627,-9.719374554697424e-05,30481.311404296874,0.0,4.8027494e-05,1.1026859283447266e-05,-0.9346111717820168,0.2,2.87712e-05,14598.478515625,160
18168.6,-147683.45126936,18,732,460800,628,-3.283980838023126e-05,63327.14462890625,0.0,1.1555282e-05,5.841255187988281e-06,-0.9320388929843902,0.2,2.86944e-05,31114.77734375,170
18160.884615384617,-145347.22517957693,19,773,486400,628,-0.00021935997030232102,34774.68350390625,0.0,0.00010857385,5.543231964111328e-06,-0.9611184558272362,0.2,2.8617600000000002e-05,15502.73828125,180
18148.571428571428,-144333.57537564286,20,814,512000,628,-5.423040862660855e-05,33093.99019726562,0.0,2.4319917e-05,4.589557647705078e-06,-0.9232015538811683,0.2,2.85408e-05,16478.53125,190
18154.206896551725,-142105.95504186206,21,1014,537600,529,-0.00018224490431020967,16069.764551757813,0.0,0.0001158865,4.231929779052734e-06,-0.9224323103427887,0.2,2.8464e-05,7492.5869140625,200
