reward,cycle_time
-4967321.12243194,1986.9284489727913
-5030142.9594355,2012.057183774205
-4842747.225046628,1937.098890018647
-4864558.911529376,1945.8235646117494
-4940386.586433741,1976.1546345734944
-4839017.559419468,1935.6070237677839
-5143441.189509152,2057.376475803668
-4981921.863583224,1992.7687454332836
-5087913.049183674,2035.1652196734715
-5069629.175250492,2027.851670100199
-4793558.820218197,1917.4235280872817
-5001280.619679868,2000.5122478719459
-4851775.128935618,1940.7100515742493
-5151093.185486329,2060.437274194538
-5281805.721221348,2112.7222884885373
-5060381.507456988,2024.1526029827926
-4621946.579034015,1848.7786316136057
-5162224.985299485,2064.8899941197774
-5028458.284033694,2011.3833136134751
-4937013.009189787,1974.805203675905
-5055561.2034750525,2022.2244813900159
-5227833.520509934,2091.133408203977
-5253159.583857094,2101.2638335428364
-4844337.495783232,1937.734998313284
-5188820.132862602,2075.5280531450408
-5114225.523274169,2045.6902093096614
-5335258.191853234,2134.1032767412967
-5028993.491064277,2011.5973964257057
-4912882.724737548,1965.153089895016
-4989839.398937641,1995.93575957506
-4907906.675417169,1963.1626701668667
-5195749.789160484,2078.2999156641977
-4814308.127019364,1925.7232508077443
-5360666.105573961,2144.2664422295843
-5285136.712967254,2114.054685186908
-4789441.402935586,1915.77656117424
-4919999.330874615,1967.9997323498494
-5122719.078976788,2049.087631590717
-5476458.824885673,2190.583529954266
-4911738.103957773,1964.6952415831151
-4997002.36926761,1998.8009477070448
-4783947.434558506,1913.5789738234048
-5005788.031734643,2002.315212693853
-4840004.614111891,1936.0018456447572
-5060472.468865604,2024.1889875462434
-5083316.072599528,2033.3264290398106
-4811921.548059651,1924.7686192238648
-4925080.663399607,1970.0322653598398
-4808470.517996518,1923.3882071986031
-4863010.186881936,1945.204074752773
-5128112.528607778,2051.2450114431103
-4820501.771841998,1928.2007087367908
-4765470.235095257,1906.1880940381054
-5056332.211243353,2022.5328844973344
-5150226.015510507,2060.090406204214
-4913884.9879272785,1965.55399517091
-5252320.620437404,2100.9282481749683
-5126802.618597849,2050.7210474391354
-4822636.91129032,1929.0547645161398
-4872614.131534825,1949.045652613917
-5032885.759860175,2013.1543039440721
-5024499.074080824,2009.7996296323258
-5037980.576628538,2015.1922306514118
-5286342.696717176,2114.537078686864
-4879619.768059538,1951.8479072238047
-5115405.619904673,2046.1622479618502
-4949891.481715239,1979.9565926860928
-4836462.224274565,1934.584889709831
-5216732.223041512,2086.6928892166043
-4832244.627154832,1932.8978508619316
-5122316.800305171,2048.9267201220673
-5065066.088545011,2026.0264354180042
-4920713.934268328,1968.2855737073273
-5084258.852514644,2033.7035410058581
-5250741.989030561,2100.2967956122284
-4996857.306179495,1998.7429224717935
-5277463.180378372,2110.9852721513435
-5111645.647184715,2044.6582588738793
-5224056.9145809235,2089.6227658323737
-4934450.712835769,1973.780285134303
-4974521.784373128,1989.8087137492546
-5194970.049613612,2077.9880198454434
-4859848.923917474,1943.939569566976
-4875773.415892709,1950.3093663570899
-4868801.127861527,1947.5204511446116
-4794308.906080868,1917.7235624323428
-4982658.761048053,1993.0635044192231
-5333848.978967581,2133.5395915870326
-4969337.531093687,1987.7350124374855
-4969532.360323684,1987.8129441294764
-5068636.26144287,2027.4545045771476
-4959242.575011411,1983.6970300045643
-5064589.8365278905,2025.8359346111529
-5056890.351115497,2022.7561404461999
-4618432.014166846,1847.372805666738
-5413951.338429007,2165.580535371607
-4754088.908973028,1901.6355635892157
-4902566.874803939,1961.0267499215688
-4983404.826947073,1993.3619307788244
-5230842.571447493,2092.3370285789997
-5168706.973445772,2067.4827893783167
-5046914.041855791,2018.765616742325
-4812077.507065864,1924.8310028263438
-5132258.442803603,2052.903377121438
-5243574.033654824,2097.4296134619312
-5224563.536369397,2089.8254145477545
-4862354.78545505,1944.9419141820338
-5199048.087526346,2079.6192350105384
-5266428.328325041,2106.5713313300216
-4839619.756207076,1935.8479024828382
-5359863.760660207,2143.9455042640807
-4903142.425364205,1961.2569701456741
-4975647.871749325,1990.259148699738
-5008080.538609154,2003.2322154436647
-5442206.702226516,2176.88268089061
-4877679.523801732,1951.071809520697
-4683465.008839352,1873.386003535749
-4951909.184248146,1980.7636736992754
-4930106.849196943,1972.0427396787677
-4944856.621551304,1977.9426486205173
-5106691.943981125,2042.6767775924527
-4922966.700857611,1969.186680343036
-5313879.795905932,2125.551918362373
-4728864.874475501,1891.5459497902007
-5145820.251196744,2058.3281004786995
-4882814.185297886,1953.125674119162
-4818108.600180428,1927.2434400721743
-4906551.772080924,1962.6207088323674
-5160477.382292013,2064.1909529168065
-5151729.101635587,2060.6916406542396
-5098366.686011517,2039.3466744046002
-5133167.1604671925,2053.266864186888
-5131261.863882705,2052.504745553084
-4903121.225546144,1961.2484902184588
-4879042.561862241,1951.6170247448892
-4774920.922069886,1909.9683688279547
-5307759.969236271,2123.1039876944997
-5220072.226356313,2088.0288905425105
-5049816.060251705,2019.926424100684
-4545476.104249672,1818.1904416998725
-5038536.92804253,2015.414771217006
-5286974.789164054,2114.7899156656217
-5217481.204690357,2086.992481876139
-5175265.354833326,2070.1061419333314
-5014999.040262377,2005.999616104962
-4669530.754219556,1867.812301687818
-5033215.36052947,2013.286144211791
-4868650.667445137,1947.460266978055
-5208787.5630610185,2083.5150252244016
-4620270.846841142,1848.1083387364592
-4788688.360697946,1915.4753442791707
-5014937.148056362,2005.9748592225528
-5086986.281732129,2034.7945126928662
-5026315.671307739,2010.5262685230978
-4955415.574147945,1982.166229659177
-5057161.055072675,2022.864422029074
-5419867.546627436,2167.9470186509857
-5084156.373726229,2033.6625494904977
-4937810.729034904,1975.1242916139543
-5046558.591250177,2018.6234365000732
-4981227.7892512595,1992.4911157005076
-5069714.027254059,2027.8856109016344
-4624099.476841882,1849.6397907367555
-5329019.307934459,2131.6077231737845
-4913607.315537343,1965.4429262149374
-5153260.405247805,2061.304162099124
-5005283.693155255,2002.1134772620924
-5267594.706423085,2107.0378825692355
-4982552.1974073965,1993.0208789629555
-4923809.691504809,1969.5238766019206
-5196881.747389921,2078.7526989559774
-5238278.46394376,2095.3113855775086
-5407040.690263084,2162.816276105237
-5392372.214064289,2156.9488856257185
-5255302.771914083,2102.1211087656284
-5231034.278723962,2092.4137114895934
-5215453.603252887,2086.181441301162
-4933867.320047216,1973.5469280188825
-4913919.447795137,1965.5677791180597
-4843367.932691089,1937.3471730764397
-4901527.377760481,1960.6109511041855
-4845352.247888029,1938.1408991552132
-5051143.342741296,2020.4573370965186
-5237015.959013707,2094.806383605485
-5209927.521820669,2083.9710087282742
-5096546.146173313,2038.6184584693276
-5025428.080391488,2010.1712321565817
-4863542.383522112,1945.4169534088473
-5086879.993694042,2034.751997477609
-4900406.999411245,1960.1627997644998
-4946358.196515934,1978.5432786063732
-5170143.863951599,2068.057545580645
-4936562.345261414,1974.624938104565
-5221709.335415107,2088.6837341660457
-5028390.164410226,2011.3560657640855
-5070580.926453763,2028.2323705815093
-4961555.81179065,1984.6223247162548
-4983388.2237781845,1993.355289511275
-5117757.47511999,2047.1029900480014
-5080032.994544816,2032.0131978179224
-4976275.711154714,1990.5102844618727
-4960301.630145561,1984.1206520582255
-5298573.834898796,2119.4295339595187
-4777046.103537895,1910.8184414151538
-5121331.031290438,2048.532412516173
-5012669.804299284,2005.0679217197035
-5231583.409639947,2092.6333638559745
-4864948.382734713,1945.9793530938744
-4991100.949792942,1996.4403799171675
-5009160.998233198,2003.6643992932804
-4867744.305226115,1947.097722090451
-5144487.566858959,2057.7950267435826
-5064417.346671343,2025.7669386685413
-4662008.0978663005,1864.803239146527
-5152513.933690452,2061.0055734761863
-5334868.858815397,2133.947543526158
-5153405.1367847845,2061.3620547139144
-5175288.789260249,2070.115515704097
-5196916.731872958,2078.7666927491873
-5097712.741053376,2039.0850964213382
-5218746.704354001,2087.4986817415975
-5070440.49979651,2028.1761999186133
-5135222.164357441,2054.0888657429787
-5306542.433816827,2122.616973526723
-4809901.208702462,1923.9604834809911
-4898438.186146562,1959.3752744586288
-5023070.846079024,2009.2283384316106
-5187079.649097897,2074.831859639166
-5143252.03047323,2057.300812189313
-5080927.271985075,2032.3709087940247
-4862859.75994608,1945.1439039784327
-5065371.24745754,2026.1484989830158
-4889455.869323466,1955.7823477293834
-5019959.828117282,2007.9839312469073
-5062235.061463602,2024.8940245854415
-4958888.689150476,1983.5554756601955
-4729437.965004639,1891.775186001854
-5052681.354218733,2021.072541687497
-5225110.171652767,2090.04406866111
-4792388.493235744,1916.9553972942979
-4883060.566486662,1953.2242265946586
-4993962.327257049,1997.5849309028197
-4748660.410537833,1899.4641642151323
-4730490.193921438,1892.1960775685798
-4993135.38654175,1997.2541546167042
-5020308.526941058,2008.1234107764255
-4955317.00723334,1982.1268028933364
-4997366.282815075,1998.9465131260306
-5070964.624363216,2028.3858497452907
-5012461.718300509,2004.9846873202077
-4810955.492372378,1924.3821969489466
-5123037.731702223,2049.2150926808863
-4835900.266048378,1934.360106419357
-4728008.985266475,1891.2035941065856
-4842132.153764504,1936.8528615058024
-5190866.98457697,2076.346793830787
-4922382.821533356,1968.953128613345
-5431133.2759506,2172.453310380241
