reward,cycle_time
-9269682.931378005,3707.873172551199
-9324649.168744156,3729.8596674976557
-8930265.761772586,3572.1063047090433
-9336374.089837302,3734.5496359349236
-8955743.422589686,3582.2973690358767
-9172065.680707954,3668.8262722831973
-9453706.865714144,3781.482746285649
-9168853.987028068,3667.5415948112204
-9268531.008285442,3707.4124033141456
-9157734.317766316,3663.0937271065263
-9128410.535685385,3651.3642142741337
-9207680.32219972,3683.0721288798973
-9340175.73763654,3736.0702950546324
-9418314.984714517,3767.32599388579
-9065669.427612405,3626.267771044977
-8828963.123208316,3531.585249283323
-9520971.260536,3808.3885042144148
-9316075.739433337,3726.430295773336
-9325146.835128719,3730.058734051496
-9045068.657312388,3618.0274629249484
-9583870.087548284,3833.5480350192906
-9601833.565762037,3840.7334263048024
-9109347.319190282,3643.7389276761023
-9066281.85184131,3626.512740736533
-8925626.421910778,3570.2505687642997
-9352375.205980035,3740.95008239202
-9142011.577155337,3656.8046308621533
-9265542.009228542,3706.216803691426
-9298259.695736231,3719.3038782945036
-9271399.834661586,3708.5599338646384
-8957658.421844201,3583.0633687376903
-9658110.857755603,3863.24434310226
-9526469.475854192,3810.5877903416754
-9246314.768089809,3698.5259072359486
-9348811.127914896,3739.5244511659735
-9162614.398707505,3665.045759482992
-9174493.746948909,3669.797498779562
-9134762.760973139,3653.9051043892523
-9379741.277674284,3751.896511069724
-9297404.454908563,3718.961781963435
-9460845.206142567,3784.33808245703
-9112141.672236744,3644.8566688947067
-9312107.299797375,3724.8429199189545
-8862482.904667847,3544.9931618671208
-9097066.383794835,3638.8265535179407
-9825145.390838949,3930.0581563355713
-9189899.603539016,3675.959841415592
-9365761.46013597,3746.3045840543928
-9102898.93609082,3641.1595744363317
-9225766.888191285,3690.306755276503
-9207016.66151521,3682.806664606104
-9205549.906960946,3682.219962784381
-9058588.758152718,3623.435503261073
-9377789.6313325,3751.1158525330084
-8842104.647077493,3536.84185883099
-9262311.63114016,3704.9246524560704
-9064885.246904505,3625.954098761809
-8971347.158220174,3588.5388632880604
-9311176.660793852,3724.4706643175514
-9571549.918041509,3828.6199672166013
-9358138.061808178,3743.2552247232825
-8883514.643703615,3553.40585748142
-9355924.987863146,3742.3699951452404
-9166377.536537463,3666.551014614977
-9082077.921436494,3632.831168574596
-9405550.731971266,3762.220292788507
-9163694.935275735,3665.477974110296
-9264144.911657104,3705.657964662838
-9424518.324884938,3769.8073299539833
-8928727.153440481,3571.490861376193
-9648634.135251299,3859.453654100542
-9417271.932311174,3766.9087729244607
-9553174.977749376,3821.269991099753
-9223551.693080444,3689.4206772321836
-9046697.125235073,3618.6788500940233
-9193742.412494129,3677.496964997659
-9435925.791852139,3774.37031674086
-9300250.10347173,3720.1000413886927
-9000812.793109115,3600.32511724365
-8907630.982507633,3563.0523930030645
-9095163.779641671,3638.065511856669
-9027522.391630227,3611.008956652084
-9152140.081953533,3660.8560327814193
-9058364.321982043,3623.345728792822
-9362466.248022215,3744.9864992088587
-9256601.66699025,3702.640666796108
-9088079.047981584,3635.231619192618
-9305048.80726874,3722.0195229075016
-9220357.628822913,3688.1430515291704
-9092634.069615312,3637.0536278461414
-9141404.185021168,3656.561674008462
-9056707.8148246,3622.6831259298115
-9272765.83390999,3709.106333563989
-9363773.199879693,3745.5092799518943
-9009996.323290585,3603.998529316251
-9059360.364180302,3623.7441456721276
