reward,cycle_time
-9171557.462629434,3668.6229850517875
-9279717.633812653,3711.8870535250635
-9055831.238407163,3622.332495362878
-9176244.46514073,3670.4977860562885
-9349525.312208,3739.810124883175
-9703173.447276639,3881.2693789106524
-9679449.815510439,3871.779926204165
-9372970.176082568,3749.188070433037
-9327441.585247546,3730.976634099042
-9531702.071911337,3812.6808287645563
-9066333.319713857,3626.5333278855437
-9592956.778064089,3837.182711225624
-8929845.117803127,3571.938047121245
-9688382.423198307,3875.3529692792995
-9440393.131934445,3776.1572527737712
-9516331.134400848,3806.5324537603615
-9293466.192616515,3717.3864770465834
-9151418.691720085,3660.567476688052
-9448613.760522371,3779.44550420897
-9099095.933836179,3639.6383735344634
-9345143.48048504,3738.0573921940268
-9131172.477892542,3652.4689911570094
-9522627.177712498,3809.0508710849936
-9402499.210682947,3760.9996842731803
-9299246.47432758,3719.6985897310415
-9533646.00870193,3813.4584034807654
-9021804.020292474,3608.7216081169786
-9347021.462822365,3738.8085851289384
-9223177.462297408,3689.2709849189555
-9664876.022670392,3865.9504090681316
-8969262.906865254,3587.7051627461033
-9470969.049710779,3788.3876198843054
-9594163.067420403,3837.6652269681626
-9746828.25942284,3898.73130376911
-9167238.712956415,3666.8954851825706
-9274108.16895533,3709.6432675821356
-9224621.153380556,3689.848461352213
-8954404.766699135,3581.761906679665
-9064682.87529989,3625.8731501199627
-9365842.578455573,3746.3370313822156
-9530549.98315469,3812.219993261879
-9094969.428758467,3637.9877715033954
-9560862.840291208,3824.3451361165025
-9303466.708921835,3721.386683568726
-9379671.55702038,3751.8686228081497
-9408185.790265042,3763.27431610603
-9553928.523852758,3821.5714095411136
-9172292.435417503,3668.9169741669966
-9569779.689657865,3827.9118758631394
-9604361.658248466,3841.7446632993983
-8970340.115964998,3588.1360463859914
-9834846.018783467,3933.9384075133994
-9645230.072964882,3858.0920291859543
-9714214.895929664,3885.6859583718597
-9439103.028965276,3775.641211586078
-9486521.174812865,3794.6084699251583
-9520738.260715036,3808.295304286018
-9488111.029749494,3795.244411899805
-9229633.47625429,3691.8533905017352
-9330764.748521162,3732.3058994084554
-9573633.973405646,3829.4535893622437
-9207098.60691254,3682.83944276499
-9562893.07922027,3825.1572316881075
-9516200.850751441,3806.480340300595
-9278589.083318563,3711.4356333274254
-9477823.3952891,3791.1293581156524
-9497301.53788665,3798.9206151546664
-9250496.258065121,3700.198503226047
-9125988.550592303,3650.3954202369123
-9192686.905757029,3677.0747623028046
-9390690.57721346,3756.276230885379
-9212516.205956949,3685.006482382786
-8859413.94699374,3543.7655787974945
-9374213.858327102,3749.6855433308483
-9375727.937112087,3750.2911748448128
-9233546.551347744,3693.4186205391147
-9738432.465379013,3895.3729861516113
-9381700.370104605,3752.6801480418385
-9322680.599903885,3729.0722399615465
-9341909.616196552,3736.763846478607
-9333678.810966881,3733.4715243867563
-9669766.307649821,3867.906523059921
-8970466.979593493,3588.186791837416
-9175454.85123791,3670.1819404951734
-9238855.67060469,3695.5422682418734
-9679855.216229156,3871.942086491652
-9670809.840572055,3868.323936228834
-9085641.432210967,3634.256572884406
-9309699.206035286,3723.879682414116
-9173576.395068608,3669.430558027441
-9144973.59056678,3657.9894362267055
-9587188.74490564,3834.875497962261
-9269449.721422495,3707.77988856899
-9674741.461925032,3869.8965847700238
-9352214.177664181,3740.885671065657
-9343048.798950799,3737.2195195803224
-9193759.409767589,3677.5037639070406
-9284246.106854033,3713.6984427416146
-9487572.62032789,3795.029048131166
-9746776.555463914,3898.7106221855597
-9505242.741397513,3802.0970965589986
-8873361.168949403,3549.344467579758
-9281105.12877378,3712.442051509536
-9117121.40795169,3646.848563180682
-9159322.15118211,3663.7288604728296
-9477590.689224198,3791.0362756896743
-9459734.78245655,3783.8939129826226
-9579931.881700763,3831.9727526802913
-9127059.13406274,3650.8236536250784
-9471119.312478563,3788.447724991444
-9022529.930135798,3609.011972054329
-9553947.5506839,3821.579020273529
-9190935.975325754,3676.374390130297
-9426392.988536507,3770.557195414572
-9647281.40720703,3858.912562882837
-9256679.683520336,3702.6718734081282
-9522848.251993522,3809.139300797431
-9394025.745902466,3757.610298360998
-9433183.55683931,3773.2734227357155
-9119057.845442584,3647.623138177018
-9379783.191376107,3751.91327655046
-9433990.103242869,3773.5960412971326
-8988227.492236326,3595.2909968945423
-9591613.584703213,3836.645433881277
-9359660.905996934,3743.864362398772
-9261870.992215304,3704.7483968861147
-8830945.065373031,3532.378026149203
-9603040.861310994,3841.2163445244
-9520475.642998915,3808.1902571995697
-9532311.62610966,3812.9246504438684
-9030445.601924842,3612.1782407699334
-9033598.109657379,3613.439243862934
-9455743.149008755,3782.29725960351
-9320611.07304667,3728.2444292186633
-9540887.354854796,3816.3549419418873
-9187986.555414943,3675.1946221659587
-9456846.25116895,3782.738500467574
-9277706.559717925,3711.082623887156
-9103881.53743841,3641.55261497539
-9700402.034317544,3880.160813727022
-9091319.816464769,3636.5279265859244
-9593690.542110918,3837.4762168443613
-9097382.821476484,3638.9531285906123
-9438381.458502077,3775.352583400813
-9452186.639447134,3780.874655778862
-9447206.402147327,3778.8825608589477
-9162135.080976596,3664.8540323906573
-9448139.393730303,3779.2557574921475
-9412367.943843761,3764.9471775374836
-9419958.393204184,3767.9833572816806
-9389968.020786371,3755.987208314527
-9435329.514157288,3774.1318056629134
-8939596.042495567,3575.838416998247
-9466606.242133345,3786.642496853321
-8990936.99958091,3596.3747998323483
-9560256.497824417,3824.102599129759
-9462163.890573094,3784.8655562292306
-9533181.310677055,3813.2725242708134
-9329332.399898037,3731.732959959212
-9105198.17632443,3642.079270529786
-9162004.305413669,3664.801722165495
-9112680.123348542,3645.072049339427
-9663634.709729653,3865.45388389187
-9253549.589749636,3701.4198358998724
-9445011.43212303,3778.0045728492178
-9212981.88845482,3685.1927553819255
-9347760.481031533,3739.104192412645
-9190859.22009018,3676.3436880360887
-9563698.005597327,3825.479202238943
-9337131.821574481,3734.8527286298067
-9357941.542782007,3743.1766171127915
-9404233.296340538,3761.69331853621
-9165897.73864111,3666.3590954564534
-9563184.084245034,3825.27363369802
-9889037.775219852,3955.615110087947
-9330445.822182694,3732.1783288730726
-9476029.716363966,3790.411886545597
-9233179.942186918,3693.2719768747806
-9216286.549021658,3686.514619608663
-9409434.544071695,3763.7738176286907
-9250021.263814524,3700.0085055258287
-9210728.290508557,3684.2913162034033
-9237576.287789632,3695.03051511588
-10041733.657889353,4016.6934631557488
-9068328.903171336,3627.33156126855
-9371094.446735512,3748.437778694211
-9421363.875393787,3768.5455501575084
-9519209.003020162,3807.6836012080744
-9290067.169853974,3716.0268679415876
-9437093.231170043,3774.837292468007
-9050496.910282722,3620.198764113106
-9301352.555267341,3720.541022106942
-9616762.846470954,3846.7051385883965
-9616764.833741166,3846.7059334964574
-9475616.014161758,3790.246405664716
-9497613.481243001,3799.045392497216
-9169966.93956359,3667.9867758254395
-9212646.92392783,3685.0587695711433
-9453108.93020139,3781.2435720805556
-9481078.814703695,3792.4315258815036
-9065013.570955152,3626.005428382072
-9305883.57025777,3722.353428103111
-9509101.114380285,3803.640445752132
-9270176.299138414,3708.070519655387
-9181009.826997647,3672.4039307990356
-9235312.938791018,3694.1251755164294
-9449383.854432166,3779.753541772871
-9136552.337885065,3654.6209351540206
-9034839.734584514,3613.9358938338028
-9258220.553948622,3703.2882215794375
-9039056.941134155,3615.622776453669
-9572253.189429738,3828.901275771895
-9788030.072510922,3915.212029004347
-9610606.796433402,3844.2427185733595
-9284692.50573334,3713.8770022933395
-9507719.737119198,3803.087894847685
-9254332.365433492,3701.732946173388
-9303752.092638547,3721.5008370554233
-9436531.860239638,3774.612744095881
-9127770.084581234,3651.108033832492
-9549129.828878809,3819.6519315515293
-9071992.388312973,3628.7969553252087
-9344715.39555084,3737.886158220329
-9320345.238567222,3728.138095426881
-8905750.54403061,3562.3002176122473
-9140621.435556041,3656.248574222403
-9297123.814814843,3718.8495259259425
-9644106.76790379,3857.642707161512
-9388811.425052209,3755.524570020881
-9396708.577942913,3758.6834311771654
-9562842.600894472,3825.1370403577894
-9341081.904669441,3736.4327618677767
-9309666.542622766,3723.8666170491056
-9547759.417582845,3819.103767033132
-9245972.206362976,3698.388882545186
-9239185.19993297,3695.674079973182
-9616775.240910204,3846.710096364087
-9217477.007862855,3686.9908031451523
-9454528.208094787,3781.8112832379074
-9205605.172338502,3682.2420689353826
-9305325.623577887,3722.130249431162
-9082081.58033247,3632.832632133016
-9199041.183324402,3679.616473329754
-9455401.40633577,3782.1605625343122
-9529899.873466395,3811.95994938657
-9190460.37360524,3676.1841494420983
-9527364.273401767,3810.9457093607075
-9484165.456538493,3793.666182615389
-9137402.359471917,3654.9609437887825
-9652159.379187291,3860.8637516749277
-9251049.80625922,3700.4199225037055
-9475399.899425719,3790.159959770292
-9325551.273621626,3730.220509448664
-9394989.877924524,3757.9959511698125
-9445639.67661241,3778.255870644965
-9074680.64766004,3629.8722590640104
-9469888.179091137,3787.9552716364637
-9342184.128667453,3736.873651466987
-9542325.543836119,3816.9302175344405
-9392408.986699613,3756.9635946798703
-9312600.890422838,3725.04035616913
-9233003.869480941,3693.2015477923937
-9272871.785583047,3709.1487142332235
-9453632.92303858,3781.45316921541
-9323072.29462738,3729.228917850959
-9448296.948001891,3779.3187792007425
-8937370.537891999,3574.9482151567995
-9565448.12005153,3826.179248020628
-9449078.872645171,3779.6315490580564
-9459718.857384304,3783.8875429537115
-9239155.932440571,3695.6623729762437
-9404218.430192476,3761.6873720770313
-9557151.959422579,3822.8607837690415
-9518643.531389648,3807.4574125558643
-9139438.4592652,3655.7753837060595
-9440960.827979475,3776.3843311918026
-9418312.950570818,3767.3251802283307
-9624237.368709931,3849.694947483962
-9524055.524248254,3809.622209699292
-9641159.452184519,3856.46378087381
-9165514.051799852,3666.205620719938
-9443431.252000209,3777.3725008000874
-9257785.263902204,3703.1141055608646
-9365740.717908112,3746.296287163245
-9551381.342840087,3820.5525371360272
