reward,cycle_time
-9186126.163947245,3674.4504655789124
-9386562.600287024,3754.625040114805
-9251738.787451139,3700.695514980447
-8822251.360070443,3528.9005440281703
-8959705.615514116,3583.8822462056555
-9006998.388327608,3602.7993553310694
-9464502.355028562,3785.80094201143
-9302631.953188328,3721.0527812753285
-8961128.16461189,3584.4512658447475
-9487870.106720205,3795.148042688088
-9277242.918451836,3710.8971673807173
-9325372.77825587,3730.149111302356
-9168268.097534388,3667.3072390137613
-9148226.842489064,3659.2907369956174
-9466777.79558003,3786.7111182319954
-9131256.600860048,3652.502640344014
-9316831.219073093,3726.732487629253
-8865174.867153218,3546.069946861295
-9517383.267088197,3806.95330683528
-9311822.291559821,3724.7289166239293
-9260900.505503299,3704.3602022013188
-9122778.913148155,3649.111565259242
-9330130.3644439,3732.0521457775667
-9236761.307072178,3694.704522828888
-9143141.373244546,3657.2565492978188
-9182225.436981956,3672.890174792783
-8880052.150819017,3552.020860327618
-9036137.842424454,3614.4551369697906
-9115166.486642275,3646.066594656901
-9246050.381702913,3698.420152681154
-9171667.248219015,3668.666899287598
-9153876.949672226,3661.550779868877
-9019600.698718805,3607.8402794875333
-9562842.64420266,3825.1370576810673
-9122246.88246385,3648.8987529855253
-9313821.565975053,3725.5286263900207
-9379387.042679608,3751.754817071856
-8999955.584676713,3599.9822338707054
-9052061.928971881,3620.824771588752
-9409313.597139353,3763.725438855727
-9222479.602009565,3688.991840803838
-9406667.769352116,3762.6671077408582
-9201113.33630332,3680.445334521345
-9272462.994550081,3708.9851978200345
-9169169.090354912,3667.6676361419886
-9203450.909667075,3681.3803638668314
-8945383.240443934,3578.153296177578
-9387475.68169423,3754.990272677709
-9551199.03846133,3820.479615384524
-9408294.091266504,3763.3176365065947
-8838590.643181046,3535.4362572724135
-9286330.283070035,3714.532113227999
-8993861.1852611,3597.544474104452
-9251928.52460984,3700.7714098439387
-8994070.727043945,3597.62829081759
-9578559.086149406,3831.4236344597784
-9349561.916492518,3739.8247665970116
-9336119.026319975,3734.447610527989
-9138100.613160811,3655.2402452643387
-9116723.364958627,3646.68934598345
-9230188.982143212,3692.0755928573085
-9583081.662777783,3833.23266511111
-9130160.71365593,3652.064285462377
-8906003.776923321,3562.401510769323
-9434357.845208261,3773.743138083306
-9076218.34105294,3630.487336421201
-9335873.353366701,3734.349341346687
-9174859.336861737,3669.943734744684
-9350617.691659573,3740.2470766638303
-9419584.503674598,3767.833801469845
-9268420.40676813,3707.3681627072456
-9109300.75928306,3643.7203037132263
-9393775.329313515,3757.5101317254193
-9071386.455637906,3628.5545822551608
-8948109.801392904,3579.2439205571613
-9297458.230942179,3718.983292376842
-9310344.520008884,3724.1378080035256
-9372154.245266119,3748.861698106447
-9423267.849569723,3769.307139827892
-9025383.612266893,3610.1534449067494
-9127284.973978737,3650.9139895914986
-9331389.605167054,3732.555842066806
-9259779.03058461,3703.911612233837
-9389669.095185895,3755.8676380743696
-8798092.86542682,3519.2371461707385
-9224548.22006454,3689.81928802584
-9334259.760248467,3733.7039040993945
-9687675.892622514,3875.070357049039
-9398120.74131864,3759.2482965274708
-9308289.71770694,3723.3158870827674
