time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_range,train/n_updates,train/loss,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/explained_variance,train/value_loss
435200,1388,313,17,2.87712e-05,4.390953e-08,-2.258166205137968e-06,25879.0,0.2,160,5768219.0,-3586797.451061125,-0.38786973559856414,0.0,1.7285346984863281e-06,11637736.927
460800,1410,326,18,2.86944e-05,1.1052703e-07,-4.9723002593964335e-06,25863.352941176472,0.2,170,4934030.0,-3578316.3774514706,-0.3802333387732506,0.0,1.5497207641601562e-06,9663004.8205
486400,1443,336,19,2.8617600000000002e-05,4.419824e-08,-2.4782990803942084e-06,25863.0,0.2,180,5031944.5,-3576997.910844611,-0.39204828867316244,0.0,1.0728836059570312e-06,9711807.72
512000,1468,348,20,2.85408e-05,7.1504616e-08,-3.5288421204313637e-06,25898.57894736842,0.2,190,5168478.5,-3585945.708142842,-0.39150930497050285,0.0,1.0728836059570312e-06,10150023.112
537600,1818,295,21,2.8464e-05,2.5813934e-08,-1.556196832098067e-06,25889.2,0.2,200,4269687.0,-3566776.0500454,-0.3871711365878582,0.0,7.152557373046875e-07,8353905.881
563200,1861,302,22,2.8387199999999998e-05,2.4039764e-08,-1.615201123058796e-06,25918.52380952381,0.2,210,4501613.5,-3569815.0000224286,-0.3813085512816906,0.0,5.960464477539062e-07,9844909.0125
588800,1884,312,23,2.83104e-05,1.6130507e-08,-9.80923359747976e-07,25958.545454545456,0.2,220,4942339.5,-3577523.927518681,-0.37836750933527946,0.0,2.980232238769531e-07,9890354.3505
614400,1906,322,24,2.82336e-05,5.7106373e-08,-2.7768496656790374e-06,25968.478260869564,0.2,230,4663884.0,-3593757.036544478,-0.3761203244924545,0.0,2.384185791015625e-07,9922308.0965
640000,1928,331,25,2.8156799999999998e-05,2.6843045e-08,-1.5591724659316242e-06,25992.958333333332,0.2,240,6443450.5,-3615869.897672292,-0.3773612024784088,0.0,5.960464477539062e-07,12840208.457
665600,2266,293,26,2.808e-05,1.979759e-08,-1.168960938230157e-06,25999.64,0.2,250,5254142.0,-3621156.4761509206,-0.3820946658849716,0.0,2.980232238769531e-07,10307769.542
691200,2294,301,27,2.8003200000000003e-05,2.1830202e-08,-1.3011281262151897e-06,25972.615384615383,0.2,260,5074111.0,-3616608.138731154,-0.38631642642617225,0.0,4.172325134277344e-07,10215457.836
716800,2316,309,28,2.79264e-05,3.023306e-08,-1.4718028251081706e-06,25968.962962962964,0.2,270,5144279.5,-3620353.0924563706,-0.38920373083651066,0.0,2.980232238769531e-07,10299320.462
742400,2339,317,29,2.7849600000000002e-05,4.2135362e-08,-2.279522130265832e-06,25984.785714285714,0.2,280,5606858.5,-3637505.7575673214,-0.378719605743885,0.0,1.7881393432617188e-07,11667269.553
768000,2366,324,30,2.7772800000000003e-05,3.3155083e-09,-6.26973807811737e-07,26002.793103448275,0.2,290,5431181.5,-3646517.387492759,-0.37334591579437254,0.0,2.384185791015625e-07,11770312.472
793600,2696,294,31,2.7696e-05,2.8698706e-08,-1.8788486486300826e-06,26016.3,0.2,300,4925125.5,-3651314.959813534,-0.38680380806326864,0.0,2.980232238769531e-07,10406314.618
819200,2718,301,32,2.76192e-05,7.023336e-08,-3.7199638900347055e-06,26034.129032258064,0.2,310,5264484.0,-3653146.941145775,-0.3745922753512859,0.0,4.172325134277344e-07,10560926.196
844800,2742,307,33,2.7542400000000002e-05,2.0964071e-08,-1.1032914626412093e-06,26045.625,0.2,320,5241860.5,-3651776.8401808124,-0.37936392687261106,0.0,2.980232238769531e-07,9899211.4145
870400,2764,314,34,2.74656e-05,5.403068e-08,-3.4331149072386322e-06,26063.272727272728,0.2,330,5471478.5,-3674233.765550848,-0.37638457188010216,0.0,1.1920928955078125e-07,11147274.533
896000,2787,321,35,2.73888e-05,6.5201895e-08,-3.32648929907009e-06,26059.617647058825,0.2,340,6501890.5,-3666695.8903909996,-0.3760177786052227,0.0,1.1920928955078125e-07,12536227.142
921600,3115,295,36,2.7312e-05,1.6281847e-08,-1.0786300990730523e-06,26046.428571428572,0.2,350,4447590.0,-3663289.505080457,-0.3865270888209343,0.0,1.1920928955078125e-07,8981488.4815
947200,3137,301,37,2.72352e-05,4.3434557e-08,-2.3942217230796812e-06,26034.055555555555,0.2,360,4757094.0,-3659103.2419404997,-0.3884007798433304,0.0,2.384185791015625e-07,10250261.59
972800,3159,307,38,2.71584e-05,4.826579e-09,-5.303706275299192e-07,26033.37837837838,0.2,370,4594365.0,-3663055.628529216,-0.3920774078667164,0.0,1.1920928955078125e-07,9592849.5825
998400,3181,313,39,2.70816e-05,2.5322661e-08,-1.8325384589843452e-06,26053.5,0.2,380,6052260.0,-3682004.3902919204,-0.37820394498109816,0.0,2.384185791015625e-07,11669949.039
1024000,3207,319,40,2.70048e-05,5.2154064e-10,-2.576649421826005e-07,26050.666666666668,0.2,390,7333902.0,-3683301.2211236404,-0.3704061340093613,0.0,5.960464477539063e-08,14109272.067
1049600,3534,296,41,2.6928e-05,6.519258e-11,-3.0722632072865964e-07,26065.225,0.2,400,5905168.5,-3692853.2375162253,-0.37857621574401856,0.0,1.1920928955078125e-07,10793406.004
