rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss
-1422886.8321278933,665600,26,1513,439,13904.574468085106,1.0188669e-08,8296005.7455,4056733.5,0.2,0.0,2.808e-05,3.5762786865234375e-07,250,-0.2811669104397297,-7.946606492623686e-07
-1418258.4290419999,691200,27,1543,447,13901.57142857143,7.667113e-08,5460908.971,2781394.0,0.2,0.0,2.8003200000000003e-05,3.5762786865234375e-07,260,-0.3171312538832426,-2.3759010364301504e-06
-1417316.6275059606,716800,28,1780,402,13906.549019607843,1.0665972e-07,3729623.83125,1984592.0,0.2,0.0,2.79264e-05,5.960464477539062e-07,270,-0.29189068537950513,-3.9867856248747555e-06
-1427448.9338485661,742400,29,1802,411,13914.150943396226,1.2948644e-07,5307294.627,2673440.5,0.2,0.0,2.7849600000000002e-05,2.384185791015625e-07,280,-0.29388919956982135,-2.8943585348315538e-06
-1428089.8027953636,768000,30,1824,420,13912.309090909092,2.954388e-08,7685391.459,3867078.0,0.2,0.0,2.7772800000000003e-05,1.7881393432617188e-07,290,-0.2809375779479742,-1.48118962533772e-06
-1426800.8546539296,793600,31,2011,394,13910.684210526315,3.3883843e-08,6156318.4775,3089660.5,0.2,0.0,2.7696e-05,3.5762786865234375e-07,300,-0.30282261392474175,-2.0592539804056287e-06
-1431043.5792060862,819200,32,2160,379,13919.448275862069,1.6440172e-08,5935591.8905,2685498.25,0.2,0.0,2.76192e-05,2.384185791015625e-07,310,-0.2914221950918436,-5.116430111229419e-07
-1426873.8197794168,844800,33,2183,386,13917.883333333333,4.54369e-08,6948664.0965,3458206.0,0.2,0.0,2.7542400000000002e-05,5.960464477539063e-08,320,-0.3083510518372059,-1.177069148980081e-06
-1427513.0897477097,870400,34,2205,394,13915.338709677419,1.9320288e-08,3690378.90225,2027196.875,0.2,0.0,2.74656e-05,5.364418029785156e-07,330,-0.3035478631705046,-2.1993054542690516e-07
-1427188.676108047,896000,35,2227,402,13919.21875,1.9840198e-07,5745181.4235,2812649.0,0.2,0.0,2.73888e-05,3.5762786865234375e-07,340,-0.2906596460342407,-5.950126913376153e-06
-1432929.721068909,921600,36,2414,381,13923.727272727272,2.93809e-08,5497749.9185,2578403.75,0.2,0.0,2.7312e-05,2.384185791015625e-07,350,-0.28793088617920876,-1.9859475432895126e-06
-1432068.1953003134,947200,37,2467,383,13925.985074626866,7.5805e-08,7596845.0665,3399695.0,0.2,0.0,2.72352e-05,1.7881393432617188e-07,360,-0.28584072284400464,-2.746425569057465e-06
-1428002.948924942,972800,38,2511,387,13931.521739130434,5.0675588e-08,5527794.181,2716149.75,0.2,0.0,2.71584e-05,2.384185791015625e-07,370,-0.28914097300171854,-1.1620813747867941e-06
-1424008.6479815068,998400,39,2534,393,13920.450704225352,5.8847945e-08,4568035.812,2361046.0,0.2,0.0,2.70816e-05,3.5762786865234375e-07,380,-0.31929491356015205,-1.524779130704701e-06
-1422809.7835063424,1024000,40,2556,400,13921.534246575342,1.1979137e-07,4478949.951,2157153.5,0.2,0.0,2.70048e-05,2.980232238769531e-07,390,-0.3048305287659168,-2.230234444141388e-06
-1419647.2563819864,1049600,41,2897,362,13917.133333333333,2.1234621e-07,4704972.2365,2207346.75,0.2,0.0,2.6928e-05,1.7881393432617188e-07,400,-0.2952916174679995,-4.38003457384184e-06
-1417630.4208965453,1075200,42,2919,368,13911.25974025974,8.9881944e-08,5246268.6395,2718271.25,0.2,0.0,2.68512e-05,1.7881393432617188e-07,410,-0.2989168435037136,-2.6871447917073966e-06
-1420744.635070987,1100800,43,2941,374,13914.101265822785,1.1374242e-07,4957084.3585,2465906.75,0.2,0.0,2.67744e-05,1.1920928955078125e-07,420,-0.29502824498713015,-2.474687003996223e-06
-1417919.25724365,1126400,44,2964,380,13910.4125,9.0193936e-08,6754884.7,3379950.0,0.2,0.0,2.6697600000000003e-05,3.5762786865234375e-07,430,-0.29070003917813303,-2.4676375323906542e-06
-1414768.7930414025,1152000,45,2986,385,13906.036585365853,5.3998082e-08,4625085.89675,2388365.25,0.2,0.0,2.66208e-05,0.0,440,-0.3041218128502369,-1.6824615886434913e-06
-1414797.534121226,1177600,46,3183,369,13905.964285714286,3.839377e-08,4825750.84925,2481515.0,0.2,0.0,2.6544000000000002e-05,3.5762786865234375e-07,450,-0.32300582222640517,-1.1951082851737738e-06
-1411196.149104128,1203200,47,3206,375,13903.651162790698,7.4855055e-09,4528121.37925,2351995.5,0.2,0.0,2.6467200000000003e-05,1.1920928955078125e-07,460,-0.2961173398196697,-4.701742436736822e-07
-1408396.2168553977,1228800,48,3228,380,13902.28409090909,2.6773195e-08,4149574.29,2071062.625,0.2,0.0,2.63904e-05,1.1920928955078125e-07,470,-0.2976914519071579,-7.276560645550489e-07
-1409809.6638300444,1254400,49,3250,385,13905.888888888889,1.398148e-08,5425328.949,2765752.5,0.2,0.0,2.63136e-05,1.1920928955078125e-07,480,-0.3015852337628603,-8.034432539716363e-07
-1407655.464461087,1280000,50,3273,391,13907.880434782608,1.1266675e-08,6124850.064,2751616.75,0.2,0.0,2.62368e-05,2.980232238769531e-07,490,-0.28556307089328764,-3.5695312544703486e-07
-1406041.405647086,1305600,51,3459,377,13905.989247311827,3.6819838e-08,5262239.0985,2497903.0,0.2,0.0,2.616e-05,0.0,500,-0.29346449053287504,-1.1959708062931895e-06
-1405446.2230019157,1331200,52,3481,382,13903.536842105263,2.3513567e-07,5594778.504,2648437.75,0.2,0.0,2.60832e-05,1.7881393432617188e-07,510,-0.32127023895084855,-4.917595302686095e-06
-1405698.0972946803,1356800,53,3504,387,13904.463917525773,2.9245857e-07,4474130.025,2413733.0,0.2,0.0,2.60064e-05,0.0,520,-0.3017398949116468,-7.025340804830194e-06
