time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss
457,-1295386.09928786,6000.0,716800,1565,28,0.2,1.1920928955078125e-07,270,2.79264e-05,4.805531e-07,23091037.802,-1.0012071346864104e-05,0.0,11072751.0,-0.6674900438785553
467,-1286444.6380151298,6000.0,742400,1589,29,0.2,1.7881393432617188e-07,280,2.7849600000000002e-05,7.5704185e-07,17746590.486,-1.2764174258336426e-05,0.0,7969957.0,-0.6890580607056618
476,-1281990.63630301,6000.0,768000,1612,30,0.2,1.7881393432617188e-07,290,2.7772800000000003e-05,1.8222793e-06,20685595.012,-3.1685139751061796e-05,0.0,10141837.0,-0.6857745606303215
463,-1272015.8069545298,6000.0,793600,1713,31,0.2,2.384185791015625e-07,300,2.7696e-05,4.7288603e-07,29053999.378,-9.891901980154216e-06,0.0,14060581.0,-0.6598248441815376
471,-1264212.98175756,6000.0,819200,1737,32,0.2,1.7881393432617188e-07,310,2.76192e-05,4.998385e-07,19341271.883,-8.672892698086799e-06,0.0,10248107.0,-0.6783062795996666
479,-1252305.00146967,6000.0,844800,1760,33,0.2,2.384185791015625e-07,320,2.7542400000000002e-05,1.3803295e-06,17672366.567,-2.371537231374532e-05,0.0,8750931.0,-0.6839433277249336
483,-1234564.1596969499,6000.0,870400,1799,34,0.2,1.7881393432617188e-07,330,2.74656e-05,7.7478353e-07,21576018.145,-1.4467980363406241e-05,0.0,11434390.0,-0.6738579400777817
491,-1221683.60234848,6000.0,896000,1823,35,0.2,5.960464477539063e-08,340,2.73888e-05,9.734463e-07,22941047.114,-1.775964896660298e-05,0.0,11478844.0,-0.6608222480416298
463,-1207521.5175757501,6000.0,921600,1988,36,0.2,0.0,350,2.7312e-05,2.383741e-06,14832716.084,-3.675813786685467e-05,0.0,6572861.5,-0.6938980733156204
465,-1201085.27360606,6000.0,947200,2034,37,0.2,1.7881393432617188e-07,360,2.72352e-05,2.540229e-06,12720177.756,-3.5215412150137126e-05,0.0,6062723.5,-0.6859055152535438
472,-1195041.2886060597,6000.0,972800,2058,38,0.2,0.0,370,2.71584e-05,1.7327816e-06,20171366.111,-3.1637292355298996e-05,0.0,9973043.0,-0.6712625293135643
479,-1184606.72554546,6000.0,998400,2081,39,0.2,5.960464477539063e-08,380,2.70816e-05,4.7576148e-07,20591518.412,-9.318714670371264e-06,0.0,10548477.0,-0.6693065796494484
486,-1169922.3711666598,6000.0,1024000,2105,40,0.2,1.1920928955078125e-07,390,2.70048e-05,1.5232223e-06,15293141.437,-2.3972244700416922e-05,0.0,7469440.5,-0.6748646205663681
475,-1161187.8123333298,6000.0,1049600,2205,41,0.2,5.960464477539063e-08,400,2.6928e-05,1.8045725e-06,15110363.582,-2.949030580930412e-05,0.0,7328227.0,-0.6848644831776619
482,-1147375.7758333301,6000.0,1075200,2229,42,0.2,1.7881393432617188e-07,410,2.68512e-05,1.6333978e-06,18643015.692,-2.8275156393647195e-05,0.0,10053182.0,-0.6670661668181419
488,-1139793.06154546,6000.0,1100800,2252,43,0.2,0.0,420,2.67744e-05,6.435509e-07,16364416.739,-1.0190412285737694e-05,0.0,8607528.0,-0.6702929072976113
494,-1126698.9471666801,6000.0,1126400,2276,44,0.2,1.7881393432617188e-07,430,2.6697600000000003e-05,1.9991538e-07,17971740.055,-3.58836748637259e-06,0.0,9700923.0,-0.6759440042376518
500,-1122194.10222729,6000.0,1152000,2299,45,0.2,1.1920928955078125e-07,440,2.66208e-05,1.3520103e-06,16224386.945,-2.3022397246677428e-05,0.0,7424274.5,-0.6754126324057579
490,-1107060.6543485,6000.0,1177600,2400,46,0.2,1.1920928955078125e-07,450,2.6544000000000002e-05,7.5313494e-07,16289587.532,-1.2236083508469165e-05,0.0,8341570.5,-0.6650151950120926
496,-1090624.9465909302,6000.0,1203200,2423,47,0.2,1.7881393432617188e-07,460,2.6467200000000003e-05,1.6986533e-06,12844470.728,-2.522032766137272e-05,0.0,6235661.0,-0.6782411221265793
502,-1075962.5021212301,6000.0,1228800,2447,48,0.2,2.384185791015625e-07,470,2.63904e-05,8.7042105e-07,14281724.586,-1.4046015101484954e-05,0.0,7696292.0,-0.6699002494812012
507,-1070436.03824245,6000.0,1254400,2470,49,0.2,1.1920928955078125e-07,480,2.63136e-05,1.5952927e-06,16221587.749,-2.649936359375715e-05,0.0,7458799.0,-0.6773401379585267
513,-1057807.47471215,6000.0,1280000,2493,50,0.2,1.1920928955078125e-07,490,2.62368e-05,9.382982e-07,16845011.37,-1.6241774545051156e-05,0.0,8425716.0,-0.6616533121466637
503,-1051470.0833030597,6000.0,1305600,2594,51,0.2,5.960464477539063e-08,500,2.616e-05,1.2856233e-06,13186380.449,-1.9989278051070867e-05,0.0,5065083.0,-0.6780415640473366
508,-1048771.45022731,6000.0,1331200,2618,52,0.2,0.0,510,2.60832e-05,1.3098028e-06,15147219.739,-2.117253083270043e-05,0.0,7588366.5,-0.6621901149153709
513,-1032933.4105454901,6000.0,1356800,2641,53,0.2,0.0,520,2.60064e-05,1.747408e-06,15548694.86,-2.8218087274581194e-05,0.0,8205617.0,-0.6646683929562569
518,-1020655.8596970098,6000.0,1382400,2665,54,0.2,2.384185791015625e-07,530,2.59296e-05,1.2488011e-06,13113527.656,-1.881888182833791e-05,0.0,5952980.0,-0.661986207306385
523,-1010293.31898489,6000.0,1408000,2688,55,0.2,5.960464477539063e-08,540,2.58528e-05,1.7480738e-06,11899564.105,-2.5326979462988676e-05,0.0,5115666.5,-0.6685490068197251
513,-1003222.80324246,6000.0,1433600,2789,56,0.2,1.1920928955078125e-07,550,2.5776e-05,1.6831887e-06,11991074.42,-2.4675288354046644e-05,0.0,6584972.5,-0.6647410225868225
518,-991199.3949697299,6000.0,1459200,2812,57,0.2,0.0,560,2.5699200000000003e-05,2.1174526e-06,13475504.37,-3.551618423080072e-05,0.0,7383353.5,-0.6654920775294304
523,-981415.95327276,6000.0,1484800,2835,58,0.2,2.384185791015625e-07,570,2.56224e-05,1.28194e-06,14049975.831,-2.0977082080207766e-05,0.0,6813483.5,-0.6619461914300918
528,-980170.3297121498,6000.0,1510400,2859,59,0.2,5.960464477539063e-08,580,2.55456e-05,2.9568466e-06,10749575.72,-4.067389800911769e-05,0.0,4896348.5,-0.6690507242679596
532,-971164.3506364002,6000.0,1536000,2882,60,0.2,1.7881393432617188e-07,590,2.54688e-05,1.2899609e-06,14046306.142,-2.0521601429209114e-05,0.0,7145814.0,-0.6674965437054634
523,-960261.01598488,6000.0,1561600,2983,61,0.2,1.7881393432617188e-07,600,2.5392000000000004e-05,2.1117482e-06,11386674.842,-3.108915942721069e-05,0.0,5577822.0,-0.6601997172832489
527,-950612.3528788101,6000.0,1587200,3006,62,0.2,5.960464477539063e-08,610,2.53152e-05,1.0239379e-06,10797790.1755,-1.583874854259193e-05,0.0,5654982.0,-0.6635627782940865
532,-942351.03380304,6000.0,1612800,3029,63,0.2,1.7881393432617188e-07,620,2.5238400000000002e-05,2.1743822e-06,11343665.3485,-3.1641744659282266e-05,0.0,5052948.5,-0.6630631138086319
536,-929462.8565606102,6000.0,1638400,3053,64,0.2,1.7881393432617188e-07,630,2.51616e-05,1.2619188e-06,10260199.001,-1.7445821955334396e-05,0.0,5115892.0,-0.6634833745956421
540,-910452.5514242501,6000.0,1664000,3076,65,0.2,1.1920928955078125e-07,640,2.50848e-05,2.5659892e-06,9231054.1115,-3.514138876926154e-05,0.0,4258716.0,-0.6570474134683609
531,-906756.1228636402,6000.0,1689600,3177,66,0.2,2.980232238769531e-07,650,2.5008000000000002e-05,4.4321127e-06,5522401.85725,-4.928146011661738e-05,0.0,2978310.5,-0.6751043306589126
535,-897067.31678788,6000.0,1715200,3200,67,0.2,5.960464477539063e-08,660,2.49312e-05,1.8497115e-06,11093821.08,-2.8083832236006857e-05,0.0,5697949.0,-0.6514554497599602
540,-890084.71424243,6000.0,1740800,3223,68,0.2,0.0,670,2.48544e-05,9.171921e-07,12571437.585,-1.5263425186276435e-05,0.0,6990538.0,-0.6568606291413307
544,-882750.06086363,6000.0,1766400,3246,69,0.2,1.7881393432617188e-07,680,2.47776e-05,1.2368406e-06,13139446.295,-2.0785584347322583e-05,0.0,6073716.0,-0.6481955816745758
547,-876931.81516666,6000.0,1792000,3270,70,0.2,1.7881393432617188e-07,690,2.47008e-05,2.411853e-06,6888196.422,-3.0010327231138944e-05,0.0,3211179.75,-0.6671539470553398
539,-874210.86025757,6000.0,1817600,3370,71,0.2,1.7881393432617188e-07,700,2.4624e-05,1.353987e-06,11293651.669,-2.2816611104644833e-05,0.0,5309574.0,-0.6498584533333779
543,-854833.43186362,6000.0,1843200,3394,72,0.2,1.1920928955078125e-07,710,2.45472e-05,1.4690729e-06,12329300.367,-2.4322502431459723e-05,0.0,6394382.5,-0.6568509154915809
546,-844966.0425302899,6000.0,1868800,3417,73,0.2,1.1920928955078125e-07,720,2.44704e-05,4.5396273e-06,5484588.93025,-5.220036806713324e-05,0.0,2751463.5,-0.6632619752883911
550,-833104.8462120999,6000.0,1894400,3440,74,0.2,1.1920928955078125e-07,730,2.4393600000000003e-05,1.0553771e-06,8024291.7735,-1.4400889980606734e-05,0.0,5139806.5,-0.6532702696919441
554,-819185.5542727001,6000.0,1920000,3463,75,0.2,5.960464477539063e-08,740,2.43168e-05,2.7858257e-06,6821025.8345,-3.474549070233479e-05,0.0,3524432.0,-0.6607847110629081
