         388408497 function calls (387113178 primitive calls) in 354.312 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 16879071    4.254    0.000    4.254    0.000 {method 'append' of 'list' objects}
  3088968    3.064    0.000    4.014    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\contextlib.py:104(__init__)
  6049156    3.888    0.000    3.888    0.000 {built-in method builtins.abs}
  6048852    3.876    0.000    3.876    0.000 {built-in method numpy.seterrobj}
  9073278    2.629    0.000    3.406    0.000 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\smdp.py:165(<genexpr>)
 12519564    3.307    0.000    3.307    0.000 {method 'keys' of 'dict' objects}
 12004128    3.187    0.000    3.187    0.000 {method 'random' of '_random.Random' objects}
9666913/9666808    2.623    0.000    3.126    0.000 {built-in method builtins.getattr}
 12097704    2.371    0.000    2.371    0.000 {built-in method numpy.geterrobj}
  3024426    2.107    0.000    2.107    0.000 {method 'set' of '_contextvars.ContextVar' objects}
  6147087    1.950    0.000    1.950    0.000 {method 'items' of 'dict' objects}
  3024426    1.922    0.000    1.922    0.000 {built-in method math.log}
  6719472    1.834    0.000    1.834    0.000 {method 'values' of 'dict' objects}
  6485294    1.798    0.000    1.798    0.000 {method 'get' of 'dict' objects}
  9020177    1.753    0.000    1.753    0.000 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\smdp.py:227(arrivals_coming)
     6546    0.058    0.000    1.594    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\tensor.py:1008(placeholder_value)
     7591    0.017    0.000    1.450    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\constant_op.py:177(constant)
     7591    0.022    0.000    1.420    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\constant_op.py:280(_constant_impl)
  3024426    1.356    0.000    1.356    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     3858    0.013    0.000    1.294    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\ops.py:269(_create_graph_constant)
  6048852    1.147    0.000    1.147    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\fromnumeric.py:2416(_all_dispatcher)
  3395664    1.144    0.000    1.144    0.000 {method 'pop' of 'list' objects}
      802    0.003    0.000    1.137    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:2941(with_options)
      802    0.016    0.000    1.133    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:4838(__init__)
  2970830    1.060    0.000    1.060    0.000 {method 'index' of 'list' objects}
     1731    0.015    0.000    1.047    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\tensor.py:1049(_graph_placeholder)
      802    0.001    0.000    0.882    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:1231(prefetch)
      802    0.003    0.000    0.880    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\prefetch_op.py:24(_prefetch)
      802    0.012    0.000    0.878    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\prefetch_op.py:34(__init__)
    11688    0.073    0.000    0.824    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\tf_decorator.py:115(make_decorator)
      400    0.002    0.000    0.823    0.002 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\backend\tensorflow\trainer.py:482(get_data)
      401    0.001    0.000    0.822    0.002 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\iterator_ops.py:807(__next__)
      401    0.007    0.000    0.821    0.002 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\iterator_ops.py:752(_next_internal)
  3024426    0.772    0.000    0.772    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\_ufunc_config.py:426(__init__)
1228502/1228410    0.332    0.000    0.762    0.000 {built-in method builtins.isinstance}
  1973361    0.592    0.000    0.759    0.000 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\smdp.py:257(<genexpr>)
      401    0.001    0.000    0.756    0.002 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:3065(iterator_get_next)
     5614    0.009    0.000    0.745    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\options.py:727(merge)
      401    0.002    0.000    0.744    0.002 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:2400(flat_map_dataset)
     5614    0.066    0.000    0.736    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\util\options.py:115(merge_options)
26281/26260    0.182    0.000    0.735    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\inspect.py:2491(_signature_from_callable)
    25808    0.026    0.000    0.732    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\inspect.py:3071(from_callable)
     5614    0.043    0.000    0.710    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:227(__init__)
     8044    0.025    0.000    0.693    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\func_graph.py:442(as_default)
    23394    0.022    0.000    0.651    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\inspect.py:3333(signature)
  3024426    0.640    0.000    0.640    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\numeric.py:2245(_isclose_dispatcher)
      802    0.004    0.000    0.633    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:7670(tensor_dataset)
621177/199313    0.356    0.000    0.626    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\ops\options.py:638(__getattribute__)
      802    0.002    0.000    0.621    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:5967(prefetch_dataset)
     8062    0.013    0.000    0.613    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\tf_contextlib.py:26(contextmanager)
      802    0.003    0.000    0.572    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:4632(options_dataset)
