rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
-4635322.131195402,742400,1405,9000.0,528,29,-6.346362992189825e-06,0.0,5.960464477539063e-08,80776384.0,148309628.72,280,2.7849600000000002e-05,1.0144897e-07,0.2,-1.0879640785455704
-4627903.833136988,768000,1430,9000.0,536,30,-8.852179045788943e-06,0.0,5.960464477539063e-08,66150056.0,147053887.648,290,2.7772800000000003e-05,1.3594283e-07,0.2,-1.0876198989152908
-4627133.332159921,793600,1586,9000.0,500,31,-3.035459201782942e-06,0.0,0.0,76225952.0,150761257.76,300,2.7696e-05,4.498521e-08,0.2,-1.1037603801488876
-4617889.673756077,819200,1614,9000.0,507,32,-6.5805043559521435e-06,0.0,5.960464477539063e-08,93508736.0,167094419.872,310,2.76192e-05,8.631498e-08,0.2,-1.0803586441278457
-4615343.988832914,844800,1638,9000.0,515,33,-6.869603646919132e-06,0.0,0.0,63942296.0,153021595.328,320,2.7542400000000002e-05,1.09095126e-07,0.2,-1.0957081537246705
-4605258.776925583,870400,1700,9000.0,511,34,-7.862580940127372e-06,0.0,0.0,76313232.0,147696275.12,330,2.74656e-05,1.2356556e-07,0.2,-1.0704251250028611
-4597484.453988303,896000,1735,9000.0,516,35,-7.90607853559777e-06,0.0,-1.1920928955078125e-07,58675712.0,119722738.512,340,2.73888e-05,1.427927e-07,0.2,-1.0847646308541299
-4593099.9778845105,921600,1874,9000.0,491,36,-4.911859054118395e-06,0.0,0.0,80261832.0,144931548.32,350,2.7312e-05,7.741852e-08,0.2,-1.0848727605342865
-4578942.94082462,947200,1916,9000.0,494,37,-6.080009276047349e-06,0.0,-1.1920928955078125e-07,90812320.0,166191290.296,360,2.72352e-05,9.087613e-08,0.2,-1.091267919898033
-4574217.237804401,972800,1939,9000.0,501,38,-4.5540987048298125e-06,0.0,0.0,75931104.0,157832102.312,370,2.71584e-05,6.812857e-08,0.2,-1.092075024664402
