#{"t_start": 1733223098.376139, "env_id": "None"}
r,l,t
-6492350.109605,25662,2246.073786
-7763476.084086,26966,2261.052121
-7795620.794915,25888,2275.46067
-7083464.606811,26154,2290.007026
-6090706.563954,25878,2304.407113
-7695578.582643,26649,2319.216696
-5934127.525087,25122,2333.238826
-7648601.397178,26284,2347.868992
-6262261.371869,25476,2362.065657
-6112902.166791,26056,2376.573368
-7136994.92293,26305,2497.827222
-7093168.210392,26281,2512.448734
-6259975.341684,25482,2526.647724
-7277606.82256,26604,2541.484473
-6898516.614744,26581,2556.28095
-6646000.464565,26005,2570.784821
-6685190.984968,25631,2585.070902
-6987003.418737,26150,2599.657084
-6755278.31895,25727,2614.005779
-6307426.166949,26041,2628.521022
-6710423.494064,25804,2642.913406
-7212831.736395,26364,2657.606632
-6539687.702224,25368,2671.785191
-7008255.082166,26036,2686.305656
-6831007.578102,25831,2700.717611
-7551758.758715,26409,2715.405056
-6619187.374691,26087,2729.937762
-6093290.873648,25045,2743.89012
-6560354.831342,25885,2758.279998
-6556709.675379,25868,2772.676891
-6390240.649989,25977,2893.761597
-6647024.902697,25761,2908.123462
-5949522.15472,25848,2922.513592
-7152730.252562,26225,2937.112675
-6578284.669787,26084,2951.625626
-6923193.649235,26479,2966.374746
-6297427.958075,25495,2980.576923
-6547277.963757,25944,2995.011302
-7095153.622932,26018,3009.48465
-6313826.984664,25281,3023.571411
-6907973.711856,25481,3037.781941
-6710807.282592,26035,3052.3393
-6245041.659107,25602,3066.636007
-6123075.735958,25679,3080.938837
-7135905.684994,25906,3095.402968
-5691460.945057,25289,3109.536235
-7258293.808925,26539,3124.312001
-6772994.050827,25945,3138.805235
-6443133.322681,25693,3153.140216
-6710829.327886,26212,3167.736659
-6035803.427253,25415,3288.225961
-5923205.752001,25203,3302.244418
-7539619.150144,26792,3317.135001
-6492270.612938,25755,3331.413646
-6898300.504058,26024,3345.885997
-6562840.939272,25984,3360.318352
-6162005.387049,25830,3374.657108
-6367885.719801,26344,3389.255061
-6621189.488211,25966,3403.642151
-6876413.535338,26240,3418.165472
-6779436.620993,25748,3432.4312
-7373053.593089,26352,3447.042231
-6820946.239522,26108,3461.520251
-6967720.466867,26215,3476.055616
-7005913.938746,26138,3490.565638
-6775822.862873,25618,3504.799241
-6381621.942089,25600,3519.029323
-5955937.001258,26115,3533.53025
-7291400.1622,26226,3548.087808
-7369949.882907,25814,3562.393636
-7007500.531876,26129,3683.637441
-5546251.265548,25507,3697.892973
-6980243.863965,26052,3712.440931
-6902889.933448,26218,3727.050102
-6772578.864457,25963,3741.516563
-7562540.911605,26282,3756.184963
-7297336.692662,26178,3770.791569
-6761215.517451,25612,3785.104093
-7418661.966206,26446,3799.870761
-7572256.873912,26345,3814.566005
-6804713.220677,25782,3828.962525
-6380799.585818,25771,3843.344379
-6139373.220587,25019,3857.338042
-6965791.837661,25948,3871.822901
-6777030.343749,26288,3886.455162
-6441750.81553,25701,3900.790515
-6037789.173812,24961,3914.659243
-6588180.000622,25928,3929.066645
-7927210.824979,26484,3943.867868
-6574114.435003,25491,3958.14443
-6570396.462765,26076,4079.374366
-7054243.903615,26383,4094.030064
-6970836.535774,25874,4108.349131
-6789538.041925,26196,4122.874572
-7230835.393173,26214,4137.398075
-6662916.887524,26035,4151.844935
-6924592.857365,25655,4166.079914
-7037012.500167,26039,4180.565493
-7919422.1558,26303,4195.158382
-7264934.452717,25924,4209.55091
-6150447.974652,25633,4223.813243
-7134573.614804,26081,4238.292753
-6475419.657822,25363,4252.385858
-6850354.327716,26327,4266.993423
-6674473.965901,26121,4281.512969
-7445300.697845,26175,4296.071548
-7312676.20906,26036,4310.540945
-6632557.511491,25605,4324.767643
-6796831.360028,26013,4339.233876
-6520162.25212,26661,4354.068157
-7608353.704722,27077,4483.205728
-6184982.929783,25812,4497.558158
-6564447.573578,25913,4511.956352
-5885832.632276,25265,4526.014123
-7920967.330499,26652,4540.808241
-6778962.313152,26299,4555.430659
-5641161.934609,24774,4569.177274
-6491565.16353,26697,4583.987204
-6599926.134096,25728,4598.292869
-5681336.810791,25076,4612.267617
-7030920.984608,25708,4626.54276
-6484572.463073,25574,4640.742352
-6777678.341785,25778,4655.067836
-7373006.162305,26416,4669.720651
-6951541.559199,26068,4684.202933
-7004937.599437,25969,4698.616098
-6148108.50133,25369,4712.725991
-6463430.692094,25626,4726.975932
-6472545.085091,25698,4741.236199
-7450465.977037,26648,4756.010537
-7858367.045991,26250,4877.414632
-6548142.072478,25421,4891.581596
-7027881.740211,25782,4905.955455
-6367192.963138,25623,4920.239761
-6823624.074705,25988,4934.732025
-6954453.208107,26086,4949.256194
-7413075.488292,26357,4963.920064
-6244190.91117,25512,4978.15478
-6717024.723543,25876,4992.608055
-6553168.733533,25798,5006.991778
-6518725.299774,25634,5021.305282
-6539284.540559,25893,5035.718768
-6076705.464119,25705,5050.043207
-6300036.31718,25660,5064.330462
-7144212.418582,26558,5079.077323
-6799783.759328,25785,5093.447903
-6702385.646259,26169,5107.986366
-6186050.456445,25408,5122.122429
-6560848.51232,26033,5136.586416
-6245098.108421,25617,5150.815768
-6853103.309076,25694,5271.633086
-6652842.18816,25819,5286.035862
-6926077.908535,26026,5300.560838
-7217184.345884,26391,5315.23904
-6909050.591066,25679,5329.508229
-7043982.821311,26105,5343.989035
-6118602.545391,25254,5358.03537
-7797520.030396,26217,5372.572082
-7379474.45198,26109,5387.070763
-6909530.577241,25705,5401.386192
-6425356.799235,26229,5415.935596
-7516152.602706,26407,5430.602585
-6592790.473248,25491,5444.853059
-5722003.029815,25753,5459.185235
-6734411.446108,25636,5473.45059
-7345210.38675,26220,5488.059951
-6006915.073566,25242,5502.172721
-6152636.137093,25071,5516.182523
-6755034.818657,25679,5530.50286
-5860214.664554,25340,5544.657935
-5486781.07877,24969,5665.45551
-6479711.809763,25499,5679.579198
-6414437.364287,25531,5693.825921
-6701290.72999,25704,5708.137474
-7192044.694238,25986,5722.650742
-6845794.626071,25882,5737.103412
